Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,10,0.4,5000,10.1016/j.jwpe.2020.101884,Tibet_Ge_Sang|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,5.6,0.86,8.62,0.34,3.36
drinkingwater,24,0.4,5000,10.1016/j.jwpe.2020.101884,ALKAO.UA|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,13.44,0.86,20.68,0.34,8.07
drinkingwater,28,0.4,5000,10.1016/j.jwpe.2020.101884,Ban_Ma|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,15.68,0.86,24.13,0.34,9.41
drinkingwater,14,0.4,5000,10.1016/j.jwpe.2020.101884,Shi_Lin|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,7.84,0.86,12.06,0.34,4.71
drinkingwater,14,0.4,5000,10.1016/j.jwpe.2020.101884,LAVA|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,7.84,0.86,12.06,0.34,4.71
drinkingwater,32,0.4,5000,10.1016/j.jwpe.2020.101884,Watsons|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,17.92,0.86,27.57,0.34,10.75
drinkingwater,6,0.4,5000,10.1016/j.jwpe.2020.101884,Hui_Shan_Gu|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,3.36,0.86,5.17,0.34,2.02
drinkingwater,6,0.4,5000,10.1016/j.jwpe.2020.101884,Nong_Shi|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,3.36,0.86,5.17,0.34,2.02
drinkingwater,10,0.4,5000,10.1016/j.jwpe.2020.101884,Jin_Mai_lang|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,5.6,0.86,8.62,0.34,3.36
drinkingwater,4,0.4,5000,10.1016/j.jwpe.2020.101884,Ganten_Purified_Water|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,2.24,0.86,3.45,0.34,1.34
drinkingwater,44,0.4,5000,10.1016/j.jwpe.2020.101884,Nestle_Pure_Life|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,24.64,0.86,37.91,0.34,14.79
drinkingwater,16,0.4,5000,10.1016/j.jwpe.2020.101884,Tian_Di_Jing_Hua|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,8.96,0.86,13.79,0.34,5.38
drinkingwater,30.57,0.45,5000,10.1039/c6ay01184e,1|10.1039/c6ay01184e,N/A,1.09,1.64,2.19,0.6,18.34,0.88,26.84,0.39,11.82
drinkingwater,3,0.45,5000,10.1039/c6ay01184e,2|10.1039/c6ay01184e,N/A,1.09,1.64,2.19,0.6,1.8,0.88,2.63,0.39,1.16
drinkingwater,6,0.45,5000,10.18520/cs/v117/i11/1874-1879,C|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,3.6,0.88,5.27,0.39,2.32
drinkingwater,5,0.45,5000,10.18520/cs/v117/i11/1874-1879,B1|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,3,0.88,4.39,0.39,1.93
drinkingwater,5,0.45,5000,10.18520/cs/v117/i11/1874-1879,B2|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,3,0.88,4.39,0.39,1.93
drinkingwater,5,0.45,5000,10.18520/cs/v117/i11/1874-1879,B3|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,3,0.88,4.39,0.39,1.93
drinkingwater,5,0.45,5000,10.18520/cs/v117/i11/1874-1879,B4|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,3,0.88,4.39,0.39,1.93
drinkingwater,2,0.45,5000,10.18520/cs/v117/i11/1874-1879,B5|10.18520/cs/v117/i11/1874-1879,N/A,1.09,1.64,2.19,0.6,1.2,0.88,1.76,0.39,0.77
drinkingwater,610,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,366,0.88,535.48,0.39,235.85
drinkingwater,1042.6,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,625.56,0.88,915.23,0.39,403.12
drinkingwater,560,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,336,0.88,491.58,0.39,216.52
drinkingwater,1186,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,711.6,0.88,1041.11,0.39,458.56
drinkingwater,1489,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,893.4,0.88,1307.09,0.39,575.71
drinkingwater,100.4,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,60.24,0.88,88.13,0.39,38.82
drinkingwater,353.2,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,211.92,0.88,310.05,0.39,136.56
drinkingwater,1721.2,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,1032.72,0.88,1510.92,0.39,665.49
drinkingwater,650,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,390,0.88,570.59,0.39,251.32
drinkingwater,271.2,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,162.72,0.88,238.07,0.39,104.86
drinkingwater,200.5,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,120.3,0.88,176,0.39,77.52
drinkingwater,200.5,0.45,5000,10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,120.3,0.88,176,0.39,77.52
drinkingwater,62.7,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,37.62,0.88,55.04,0.39,24.24
drinkingwater,774.1,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,464.46,0.88,679.53,0.39,299.3
drinkingwater,200.8,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,120.48,0.88,176.27,0.39,77.64
drinkingwater,280.6,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,168.36,0.88,246.32,0.39,108.49
drinkingwater,260.4,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,156.24,0.88,228.59,0.39,100.68
drinkingwater,200,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,120,0.88,175.57,0.39,77.33
drinkingwater,180.1,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PE|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,108.06,0.88,158.1,0.39,69.63
drinkingwater,200.1,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PP|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,120.06,0.88,175.65,0.39,77.37
drinkingwater,90,0.45,5000,10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PVC|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,54,0.88,79,0.39,34.8
drinkingwater,394.1,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,236.46,0.88,345.95,0.39,152.38
drinkingwater,1092.3,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,655.38,0.88,958.85,0.39,422.33
drinkingwater,2030,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,1218,0.88,1782,0.39,784.89
drinkingwater,451.3,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,270.78,0.88,396.16,0.39,174.49
drinkingwater,1042,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,625.2,0.88,914.7,0.39,402.88
drinkingwater,504.1,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sedimentation|10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,302.46,0.88,442.51,0.39,194.91
drinkingwater,300,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,180,0.88,263.35,0.39,115.99
drinkingwater,252,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,151.2,0.88,221.21,0.39,97.43
drinkingwater,552.4,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Ozonation|10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,331.44,0.88,484.91,0.39,213.58
drinkingwater,413.2,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,247.92,0.88,362.72,0.39,159.76
drinkingwater,230,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,138,0.88,201.9,0.39,88.93
drinkingwater,232,0.45,5000,10.1016/j.scitotenv.2021.150545,B_BAC|10.1016/j.scitotenv.2021.150545,B_BAC_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,139.2,0.88,203.66,0.39,89.7
drinkingwater,276.4,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,165.84,0.88,242.63,0.39,106.87
drinkingwater,140,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,84,0.88,122.9,0.39,54.13
drinkingwater,161.5,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Flocc|10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,96.9,0.88,141.77,0.39,62.44
drinkingwater,150.3,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,90.18,0.88,131.94,0.39,58.11
drinkingwater,130.1,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,78.06,0.88,114.21,0.39,50.3
drinkingwater,55,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Sand|10.1016/j.scitotenv.2021.150545,B_Sand_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,33,0.88,48.28,0.39,21.27
drinkingwater,160,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Treated|10.1016/j.scitotenv.2021.150545,B_Treated_PA|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,96,0.88,140.45,0.39,61.86
drinkingwater,0.1,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Treated|10.1016/j.scitotenv.2021.150545,B_Treated_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.06,0.88,0.09,0.39,0.04
drinkingwater,30,0.45,5000,10.1016/j.scitotenv.2021.150545,B_Treated|10.1016/j.scitotenv.2021.150545,B_Treated_VINYON|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,18,0.88,26.33,0.39,11.6
drinkingwater,0.15,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BioTreatment|10.1016/j.scitotenv.2021.150545,C_BioTreatment_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.09,0.88,0.13,0.39,0.06
drinkingwater,0.2,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BioTreatment|10.1016/j.scitotenv.2021.150545,C_BioTreatment_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.12,0.88,0.18,0.39,0.08
drinkingwater,0.25,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BioTreatment|10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.15,0.88,0.22,0.39,0.1
drinkingwater,0.05,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.03,0.88,0.04,0.39,0.02
drinkingwater,0.07,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.04,0.88,0.06,0.39,0.03
drinkingwater,0.26,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.16,0.88,0.23,0.39,0.1
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0.14,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.08,0.88,0.12,0.39,0.05
drinkingwater,0.19,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.114,0.88,0.17,0.39,0.07
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,2.68,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,1.61,0.88,2.35,0.39,1.04
drinkingwater,0.13,0.45,5000,10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.08,0.88,0.11,0.39,0.05
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0.1,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.06,0.88,0.09,0.39,0.04
drinkingwater,0.17,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.102,0.88,0.15,0.39,0.07
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0.09,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0.05,0.88,0.08,0.39,0.03
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_PET|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_VINYL|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,0,0.45,5000,10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_OTHERS|10.1016/j.scitotenv.2021.150545,1.09,1.64,2.19,0.6,0,0.88,0,0.39,0
drinkingwater,4.703,0.45,5000,10.1016/j.etap.2018.12.009,29|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,2.82,0.88,4.13,0.39,1.82
drinkingwater,1.1917,0.45,5000,10.1016/j.etap.2018.12.009,30|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,0.72,0.88,1.05,0.39,0.46
drinkingwater,2.2825,0.45,5000,10.1016/j.etap.2018.12.009,20a|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,1.3695,0.88,2,0.39,0.88
drinkingwater,4.1373,0.45,5000,10.1016/j.etap.2018.12.009,7|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,2.48238,0.88,3.63,0.39,1.6
drinkingwater,5.2925,0.45,5000,10.1016/j.etap.2018.12.009,123|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,3.18,0.88,4.65,0.39,2.05
drinkingwater,0.0146,0.45,5000,10.1016/j.etap.2018.12.009,11|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,0.01,0.88,0.01,0.39,0.01
drinkingwater,2.594,0.45,5000,10.1016/j.etap.2018.12.009,20b|10.1016/j.etap.2018.12.009,N/A,1.09,1.64,2.19,0.6,1.5564,0.88,2.28,0.39,1
drinkingwater,2.71,0.7,5000,10.1016/j.jhazmat.2021.125347,27.11.2019|10.1016/j.jhazmat.2021.125347,N/A,1.09,1.64,2.19,0.8,2.17,0.94,2.55,0.65,1.77
drinkingwater,2.56,0.7,5000,10.1016/j.jhazmat.2021.125347,21.12.2019|10.1016/j.jhazmat.2021.125347,N/A,1.09,1.64,2.19,0.8,2.05,0.94,2.41,0.65,1.67
drinkingwater,2.4,0.7,5000,10.1016/j.jhazmat.2021.125347,22.01.2020|10.1016/j.jhazmat.2021.125347,N/A,1.09,1.64,2.19,0.8,1.92,0.94,2.26,0.65,1.57
drinkingwater,2.85,0.7,5000,10.1016/j.jhazmat.2021.125347,19.02.2020|10.1016/j.jhazmat.2021.125347,N/A,1.09,1.64,2.19,0.8,2.28,0.94,2.69,0.65,1.86
drinkingwater,3.23,0.7,5000,10.1016/j.jhazmat.2021.125347,16.03.2020|10.1016/j.jhazmat.2021.125347,N/A,1.09,1.64,2.19,0.8,2.58,0.94,3.04,0.65,2.11
drinkingwater,0.5,1,5000,10.1016/j.chemosphere.2020.126612,1|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,0.5,1,0.5,1,0.5
drinkingwater,0.4,1,5000,10.1016/j.chemosphere.2020.126612,2|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,0.4,1,0.4,1,0.4
drinkingwater,54.5,1,5000,10.1016/j.chemosphere.2020.126612,3|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,54.5,1,54.5,1,54.5
drinkingwater,97.5,1,5000,10.1016/j.chemosphere.2020.126612,4|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,97.5,1,97.5,1,97.5
drinkingwater,0.5,1,5000,10.1016/j.chemosphere.2020.126612,6|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,0.5,1,0.5,1,0.5
drinkingwater,0.5,1,5000,10.1016/j.chemosphere.2020.126612,7|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,0.5,1,0.5,1,0.5
drinkingwater,3793.5,1,5000,10.1016/j.chemosphere.2020.126612,8|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,3793.5,1,3793.5,1,3793.5
drinkingwater,7.1,1,5000,10.1016/j.chemosphere.2020.126612,9|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,7.1,1,7.1,1,7.1
drinkingwater,1.65,1,5000,10.1016/j.chemosphere.2020.126612,10|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,1.65,1,1.65,1,1.65
drinkingwater,14.6,1,5000,10.1016/j.chemosphere.2020.126612,11|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,14.6,1,14.6,1,14.6
drinkingwater,5.34,1,5000,10.1016/j.chemosphere.2020.126612,12|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,5.34,1,5.34,1,5.34
drinkingwater,1.8,1,5000,10.1016/j.chemosphere.2020.126612,13|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,1.8,1,1.8,1,1.8
drinkingwater,2.1,1,5000,10.1016/j.chemosphere.2020.126612,14|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,2.1,1,2.1,1,2.1
drinkingwater,3,1,5000,10.1016/j.chemosphere.2020.126612,15|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,3,1,3,1,3
drinkingwater,5.3,1,5000,10.1016/j.chemosphere.2020.126612,16|10.1016/j.chemosphere.2020.126612,N/A,1.09,1.64,2.19,1,5.3,1,5.3,1,5.3
drinkingwater,1,1,5000,10.1007/s11356-021-13220-1,Raw|10.1007/s11356-021-13220-1,N/A,1.09,1.64,2.19,1,1,1,1,1,1
drinkingwater,0.2,1,5000,10.1007/s11356-021-13220-1,Sand|10.1007/s11356-021-13220-1,N/A,1.09,1.64,2.19,1,0.2,1,0.2,1,0.2
drinkingwater,0.2,1,5000,10.1007/s11356-021-13220-1,GAC|10.1007/s11356-021-13220-1,N/A,1.09,1.64,2.19,1,0.2,1,0.2,1,0.2
drinkingwater,0.1,1,5000,10.1007/s11356-021-13220-1,Reverse_Osmosis|10.1007/s11356-021-13220-1,N/A,1.09,1.64,2.19,1,0.1,1,0.1,1,0.1
drinkingwater,0.1,1,5000,10.1007/s11356-021-13220-1,Finished|10.1007/s11356-021-13220-1,N/A,1.09,1.64,2.19,1,0.1,1,0.1,1,0.1
drinkingwater,0,1.2,5000,10.1016/j.sciotenv.2020.143421,1|10.1016/j.sciotenv.2020.143421,N/A,1.09,1.64,2.19,1.12,0,1.03,0,1.24,0
drinkingwater,37.1,1.5,5000,10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,48.23,1.07,39.76,1.62,60.11
drinkingwater,705,1.5,5000,10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,916.5,1.07,755.57,1.62,1142.22
drinkingwater,404,1.5,5000,10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,525.2,1.07,432.98,1.62,654.55
drinkingwater,252,1.5,5000,10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,327.6,1.07,270.08,1.62,408.28
drinkingwater,174,1.5,5000,10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,226.2,1.07,186.48,1.62,281.91
drinkingwater,826,1.5,5000,10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,1073.8,1.07,885.25,1.62,1338.26
drinkingwater,213,1.5,5000,10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,276.9,1.07,228.28,1.62,345.1
drinkingwater,3.72,1.5,5000,10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,1.09,1.64,2.19,1.3,4.84,1.07,3.99,1.62,6.03
