Source,concentration
Drinking Water Reported,252
Drinking Water Reported,174
Drinking Water Reported,826
Drinking Water Reported,213
Drinking Water Reported,3.72
Drinking Water Reported,165
Drinking Water Reported,74.6
Drinking Water Reported,686
Drinking Water Reported,20
Drinking Water Reported,37.3
Drinking Water Reported,197
Drinking Water Reported,58.2
Drinking Water Reported,1410
Drinking Water Reported,204
Drinking Water Reported,40.1
Drinking Water Reported,12.5
Drinking Water Reported,150
Drinking Water Reported,2277
Drinking Water Reported,49.3
Drinking Water Reported,468
Drinking Water Reported,30.3
Drinking Water Reported,156
Drinking Water Reported,66.7
Drinking Water Reported,67.1
Drinking Water Reported,3000
Drinking Water Reported,2000
Drinking Water Reported,2000
Drinking Water Reported,1000
Drinking Water Reported,2000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,1000
Drinking Water Reported,7.17
Drinking Water Reported,4.02
Drinking Water Reported,7.73
Drinking Water Reported,1.82
Drinking Water Reported,0.91
Drinking Water Reported,6.24
Drinking Water Reported,3.23
Drinking Water Reported,1.83
Drinking Water Reported,0
Drinking Water Reported,6.64
Drinking Water Reported,3.83
Drinking Water Reported,2.74
Drinking Water Reported,3.92
Drinking Water Reported,9.24
Drinking Water Reported,3.57
Drinking Water Reported,0.67
Drinking Water Reported,4.33
Drinking Water Reported,3.33
Drinking Water Reported,1.33
Drinking Water Reported,0
Drinking Water Reported,14.3
Drinking Water Reported,2.33
Drinking Water Reported,1.33
Drinking Water Reported,2
Drinking Water Reported,3
Drinking Water Reported,8
Drinking Water Reported,8
Drinking Water Reported,14
Drinking Water Reported,118
Drinking Water Reported,50
Drinking Water Reported,11
Drinking Water Reported,0.003
Drinking Water Reported,0
Drinking Water Reported,0.001
Drinking Water Reported,0
Drinking Water Reported,0.007
Drinking Water Reported,0
Drinking Water Reported,0.001
Drinking Water Reported,0.003
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0.001
Drinking Water Reported,0.001
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0.001
Drinking Water Reported,0.001
Drinking Water Reported,0
Drinking Water Reported,0.002
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,29
Drinking Water Reported,0.066
Drinking Water Reported,105.8
Drinking Water Reported,11
Drinking Water Reported,0.117
Drinking Water Reported,0.034
Drinking Water Reported,0.045
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0.58
Drinking Water Reported,0.36
Drinking Water Reported,0.32
Drinking Water Reported,0.24
Drinking Water Reported,0.26
Drinking Water Reported,0.14
Drinking Water Reported,0.22
Drinking Water Reported,0.2
Drinking Water Reported,0.6
Drinking Water Reported,0.24
Drinking Water Reported,0.26
Drinking Water Reported,0.22
Drinking Water Reported,0.54
Drinking Water Reported,0.18
Drinking Water Reported,0.08
Drinking Water Reported,0.38
Drinking Water Reported,0.34
Drinking Water Reported,0.26
Drinking Water Reported,1401
Drinking Water Reported,1042
Drinking Water Reported,971
Drinking Water Reported,14
Drinking Water Reported,151
Drinking Water Reported,1
Drinking Water Reported,1
Drinking Water Reported,382
Drinking Water Reported,213
Drinking Water Reported,347
Drinking Water Reported,119
Drinking Water Reported,248
Drinking Water Reported,128
Drinking Water Reported,1411
Drinking Water Reported,168
Drinking Water Reported,67
Drinking Water Reported,932
Drinking Water Reported,29
Drinking Water Reported,96
Drinking Water Reported,2649
Drinking Water Reported,4889
Drinking Water Reported,6298
Drinking Water Reported,15
Drinking Water Reported,117
Drinking Water Reported,56
Drinking Water Reported,11
Drinking Water Reported,32
Drinking Water Reported,1
Drinking Water Reported,0.4
Drinking Water Reported,0.14
Drinking Water Reported,0.06
Drinking Water Reported,0.4
Drinking Water Reported,0.1
Drinking Water Reported,0.3
Drinking Water Reported,1.3
Drinking Water Reported,2.5
Drinking Water Reported,0.4
Drinking Water Reported,0.27
Drinking Water Reported,8.00E-04
Drinking Water Reported,2.43E-06
Drinking Water Reported,3.8
Drinking Water Reported,233
Drinking Water Reported,0.0995
Drinking Water Reported,0.009
Drinking Water Reported,0.019
Drinking Water Reported,0.047
Drinking Water Reported,0.064
Drinking Water Reported,0.092
Drinking Water Reported,0.127
Drinking Water Reported,2.75
Drinking Water Reported,0.0014
Drinking Water Reported,0.07
Drinking Water Reported,94.37
Drinking Water Reported,4.23
Drinking Water Reported,6292
Drinking Water Reported,4889
Drinking Water Reported,2649
Drinking Water Reported,980
Drinking Water Reported,325
Drinking Water Reported,317
Drinking Water Reported,242
Drinking Water Reported,140
Drinking Water Reported,131
Drinking Water Reported,118
Drinking Water Reported,52
Drinking Water Reported,50
Drinking Water Reported,26
Drinking Water Reported,14
Drinking Water Reported,11
Drinking Water Reported,8.5
Drinking Water Reported,1.8
Drinking Water Reported,1.41
Drinking Water Reported,338
Drinking Water Reported,151
Drinking Water Reported,61
Drinking Water Reported,56
Drinking Water Reported,14
Drinking Water Reported,13
Drinking Water Reported,6
Drinking Water Reported,14
Drinking Water Reported,2.75
Drinking Water Reported,2.181
Drinking Water Reported,0.174
Drinking Water Reported,0.06
Drinking Water Reported,0.066
Drinking Water Reported,0.00011
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,2649
Drinking Water Reported,4889
Drinking Water Reported,6292
Drinking Water Reported,315
Drinking Water Reported,195.7
Drinking Water Reported,54200000
Drinking Water Reported,140
Drinking Water Reported,52
Drinking Water Reported,1.5
Drinking Water Reported,0.48
Drinking Water Reported,0.28
Drinking Water Reported,0.18
Drinking Water Reported,0.96
Drinking Water Reported,0.91
Drinking Water Reported,2.76
Drinking Water Reported,0.5
Drinking Water Reported,1.76
Drinking Water Reported,28.4
Drinking Water Reported,0.13
Drinking Water Reported,0.05
Drinking Water Reported,2.7
Drinking Water Reported,0.3
Drinking Water Reported,0.6
Drinking Water Reported,0.59
Drinking Water Reported,0.59
Drinking Water Reported,30.6
Drinking Water Reported,1.72
Drinking Water Reported,22.9
Drinking Water Reported,2.9
Drinking Water Reported,7.9
Drinking Water Reported,30.3
Drinking Water Reported,14.3
Drinking Water Reported,8.25
Drinking Water Reported,0.24
Drinking Water Reported,0.34
Drinking Water Reported,20.96
Drinking Water Reported,31.85
Drinking Water Reported,40.67
Drinking Water Reported,20.44
Drinking Water Reported,0.78
Drinking Water Reported,0.62
Drinking Water Reported,0.1
Drinking Water Reported,0.07
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,400
Drinking Water Reported,750
Drinking Water Reported,300
Drinking Water Reported,120.3
Drinking Water Reported,1.05
Drinking Water Reported,13.5
Drinking Water Reported,0.03
Drinking Water Reported,0.005
Drinking Water Reported,0.1
Drinking Water Reported,0.02
Drinking Water Reported,6.84
Drinking Water Reported,35
Drinking Water Reported,2.84
Drinking Water Reported,1.82
Drinking Water Reported,5.9
Drinking Water Reported,3
Drinking Water Reported,7
Drinking Water Reported,14
Drinking Water Reported,0.27
Drinking Water Reported,0.4
Drinking Water Reported,0.42
Drinking Water Reported,1.91
Drinking Water Reported,2.11
Drinking Water Reported,0.58
Drinking Water Reported,1.97
Drinking Water Reported,7.3
Drinking Water Reported,0.4
Drinking Water Reported,0.52
Drinking Water Reported,0.2
Drinking Water Reported,0.44
Drinking Water Reported,0.14
Drinking Water Reported,0.28
Drinking Water Reported,0.11
Drinking Water Reported,39
Drinking Water Reported,61
Drinking Water Reported,65
Drinking Water Reported,81
Drinking Water Reported,56
Drinking Water Reported,55
Drinking Water Reported,55
Drinking Water Reported,0.34
Drinking Water Reported,148
Drinking Water Reported,0.25
Drinking Water Reported,1
Drinking Water Reported,49
Drinking Water Reported,33
Drinking Water Reported,297
Drinking Water Reported,66
Drinking Water Reported,0.31
Drinking Water Reported,0.44
Drinking Water Reported,0.92
Drinking Water Reported,1.08
Drinking Water Reported,12.8
Drinking Water Reported,41.77
Drinking Water Reported,16.4
Drinking Water Reported,131.36
Drinking Water Reported,0.98
Drinking Water Reported,4
Drinking Water Reported,0.008
Drinking Water Reported,2
Drinking Water Reported,7
Drinking Water Reported,4.11
Drinking Water Reported,1.6
Drinking Water Reported,0.7
Drinking Water Reported,0.6
Drinking Water Reported,15.7
Drinking Water Reported,3.7
Drinking Water Reported,17.6
Drinking Water Reported,17.2
Drinking Water Reported,0.09
Drinking Water Reported,0.05
Drinking Water Reported,5.9
Drinking Water Reported,2.6
Drinking Water Reported,0.098
Drinking Water Reported,0.00088
Drinking Water Reported,0.00035
Drinking Water Reported,0.4
Drinking Water Reported,0.51
Drinking Water Reported,0.51
Drinking Water Reported,0.55
Drinking Water Reported,0.6
Drinking Water Reported,0.605
Drinking Water Reported,0.63
Drinking Water Reported,0.75
Drinking Water Reported,0.56
Drinking Water Reported,0.6
Drinking Water Reported,0.39
Drinking Water Reported,0.36
Drinking Water Reported,0.75
Drinking Water Reported,0.54
Drinking Water Reported,NA
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,0
Drinking Water Reported,NA
Drinking Water Reported,11
Drinking Water Reported,31
Drinking Water Reported,20
River Reported,1.49
River Reported,1.47
River Reported,0.4
River Reported,0.35
River Reported,0.22
River Reported,1.36
River Reported,240
River Reported,145
River Reported,55
River Reported,60
River Reported,15
River Reported,10
River Reported,110
River Reported,85
River Reported,25
River Reported,20
River Reported,135
River Reported,165
River Reported,125
River Reported,63
River Reported,36
River Reported,180
River Reported,17
River Reported,25
River Reported,45
River Reported,40
River Reported,35
River Reported,45
River Reported,0.98
River Reported,0.022
River Reported,0
River Reported,0
River Reported,0.819
River Reported,0.115
River Reported,0.01
River Reported,0.004
River Reported,0.004
River Reported,0.002
River Reported,2.65483871
River Reported,1.086046512
River Reported,2.178947368
River Reported,0.997058824
River Reported,1.075510204
River Reported,2.968421053
River Reported,0.878947368
River Reported,0.374545455
River Reported,2.792857143
River Reported,0.001
River Reported,9.00E-04
River Reported,9.00E-04
River Reported,9.00E-04
River Reported,9.00E-04
River Reported,8.00E-04
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,0.00066086
River Reported,0.000617447
River Reported,0.000546067
River Reported,0.000398547
River Reported,0.00036944
River Reported,3.69E-05
River Reported,0.000363593
River Reported,0.000249433
River Reported,0.000240087
River Reported,0.00198618
River Reported,0.00173202
River Reported,0.000123827
River Reported,0.00088612
River Reported,0.000879853
River Reported,0.000872447
River Reported,7.14E-05
River Reported,12.932
River Reported,0.337
