Source,concentration
Drinking Water Corrected,448.92
Drinking Water Corrected,134.64
Drinking Water Corrected,224.28
Drinking Water Corrected,179.64
Drinking Water Corrected,179.64
Drinking Water Corrected,134.64
Drinking Water Corrected,269.28
Drinking Water Corrected,224.28
Drinking Water Corrected,89.64
Drinking Water Corrected,134.64
Drinking Water Corrected,89.64
Drinking Water Corrected,269.28
Drinking Water Corrected,101.52
Drinking Water Corrected,96.12
Drinking Water Corrected,121.68
Drinking Water Corrected,115.56
Drinking Water Corrected,139.68
Drinking Water Corrected,137.16
Drinking Water Corrected,144
Drinking Water Corrected,145.8
Drinking Water Corrected,0.07
Drinking Water Corrected,7.6
Drinking Water Corrected,4.94
Drinking Water Corrected,6.46
Drinking Water Corrected,5.32
Drinking Water Corrected,22.8
Drinking Water Corrected,4.94
Drinking Water Corrected,5.7
Drinking Water Corrected,6.84
Drinking Water Corrected,14.06
Drinking Water Corrected,12.92
Drinking Water Corrected,14.44
Drinking Water Corrected,22.8
Drinking Water Corrected,2.66
Drinking Water Corrected,9.5
Drinking Water Corrected,8.36
Drinking Water Corrected,5.7
Drinking Water Corrected,2.66
Drinking Water Corrected,14.06
Drinking Water Corrected,3.42
Drinking Water Corrected,2.28
Drinking Water Corrected,2.66
Drinking Water Corrected,3.04
Drinking Water Corrected,5.32
Drinking Water Corrected,3.04
Drinking Water Corrected,3.04
Drinking Water Corrected,2.66
Drinking Water Corrected,4.94
Drinking Water Corrected,3.04
Drinking Water Corrected,2.28
Drinking Water Corrected,3.8
Drinking Water Corrected,8.74
Drinking Water Corrected,5.7
Drinking Water Corrected,4.94
Drinking Water Corrected,3.42
Drinking Water Corrected,3.8
Drinking Water Corrected,10.64
Drinking Water Corrected,1.9
Drinking Water Corrected,3.04
Drinking Water Corrected,3.8
Drinking Water Corrected,2.66
Drinking Water Corrected,2.66
Drinking Water Corrected,34.58
Drinking Water Corrected,353.4
Drinking Water Corrected,5.6
Drinking Water Corrected,19.04
Drinking Water Corrected,20.16
Drinking Water Corrected,24.64
Drinking Water Corrected,15.68
Drinking Water Corrected,5.6
Drinking Water Corrected,7.84
Drinking Water Corrected,4.48
Drinking Water Corrected,2.24
Drinking Water Corrected,6.72
Drinking Water Corrected,10.08
Drinking Water Corrected,5.6
Drinking Water Corrected,13.44
Drinking Water Corrected,15.68
Drinking Water Corrected,7.84
Drinking Water Corrected,7.84
Drinking Water Corrected,17.92
Drinking Water Corrected,3.36
Drinking Water Corrected,3.36
Drinking Water Corrected,5.6
Drinking Water Corrected,2.24
Drinking Water Corrected,24.64
Drinking Water Corrected,8.96
Drinking Water Corrected,18.34
Drinking Water Corrected,1.8
Drinking Water Corrected,3.6
Drinking Water Corrected,3
Drinking Water Corrected,3
Drinking Water Corrected,3
Drinking Water Corrected,3
Drinking Water Corrected,1.2
Drinking Water Corrected,366
Drinking Water Corrected,625.56
Drinking Water Corrected,336
Drinking Water Corrected,711.6
Drinking Water Corrected,893.4
Drinking Water Corrected,60.24
Drinking Water Corrected,211.92
Drinking Water Corrected,1032.72
Drinking Water Corrected,390
Drinking Water Corrected,162.72
Drinking Water Corrected,120.3
Drinking Water Corrected,120.3
Drinking Water Corrected,37.62
Drinking Water Corrected,464.46
Drinking Water Corrected,120.48
Drinking Water Corrected,168.36
Drinking Water Corrected,156.24
Drinking Water Corrected,120
Drinking Water Corrected,108.06
Drinking Water Corrected,120.06
Drinking Water Corrected,54
Drinking Water Corrected,236.46
Drinking Water Corrected,655.38
Drinking Water Corrected,1218
Drinking Water Corrected,270.78
Drinking Water Corrected,625.2
Drinking Water Corrected,302.46
Drinking Water Corrected,180
Drinking Water Corrected,151.2
Drinking Water Corrected,331.44
Drinking Water Corrected,247.92
Drinking Water Corrected,138
Drinking Water Corrected,139.2
Drinking Water Corrected,165.84
Drinking Water Corrected,84
Drinking Water Corrected,96.9
Drinking Water Corrected,90.18
Drinking Water Corrected,78.06
Drinking Water Corrected,33
Drinking Water Corrected,96
Drinking Water Corrected,0.06
Drinking Water Corrected,18
Drinking Water Corrected,0.09
Drinking Water Corrected,0.12
Drinking Water Corrected,0.15
Drinking Water Corrected,0.03
Drinking Water Corrected,0.04
Drinking Water Corrected,0.16
Drinking Water Corrected,0
Drinking Water Corrected,0.08
Drinking Water Corrected,0.114
Drinking Water Corrected,0
Drinking Water Corrected,1.61
Drinking Water Corrected,0.08
Drinking Water Corrected,0
Drinking Water Corrected,0.06
Drinking Water Corrected,0.102
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0.05
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,2.82
Drinking Water Corrected,0.72
Drinking Water Corrected,1.3695
Drinking Water Corrected,2.48238
Drinking Water Corrected,3.18
Drinking Water Corrected,0.01
Drinking Water Corrected,1.5564
Drinking Water Corrected,2.17
Drinking Water Corrected,2.05
Drinking Water Corrected,1.92
Drinking Water Corrected,2.28
Drinking Water Corrected,2.58
Drinking Water Corrected,NA
Drinking Water Corrected,NA
Drinking Water Corrected,NA
Drinking Water Corrected,0.5
Drinking Water Corrected,0.4
Drinking Water Corrected,54.5
Drinking Water Corrected,97.5
Drinking Water Corrected,0.5
Drinking Water Corrected,0.5
Drinking Water Corrected,3793.5
Drinking Water Corrected,7.1
Drinking Water Corrected,1.65
Drinking Water Corrected,14.6
Drinking Water Corrected,5.34
Drinking Water Corrected,1.8
Drinking Water Corrected,2.1
Drinking Water Corrected,3
Drinking Water Corrected,5.3
Drinking Water Corrected,1
Drinking Water Corrected,0.2
Drinking Water Corrected,0.2
Drinking Water Corrected,0.1
Drinking Water Corrected,0.1
Drinking Water Corrected,0
Drinking Water Corrected,48.23
Drinking Water Corrected,916.5
Drinking Water Corrected,525.2
Drinking Water Corrected,327.6
Drinking Water Corrected,226.2
Drinking Water Corrected,1073.8
Drinking Water Corrected,276.9
Drinking Water Corrected,4.84
Drinking Water Corrected,214.5
Drinking Water Corrected,96.98
Drinking Water Corrected,891.8
Drinking Water Corrected,26
Drinking Water Corrected,48.49
Drinking Water Corrected,256.1
Drinking Water Corrected,75.66
Drinking Water Corrected,1833
Drinking Water Corrected,265.2
Drinking Water Corrected,52.13
Drinking Water Corrected,16.25
Drinking Water Corrected,195
Drinking Water Corrected,2960.1
Drinking Water Corrected,64.09
Drinking Water Corrected,608.4
Drinking Water Corrected,39.39
Drinking Water Corrected,202.8
Drinking Water Corrected,86.71
Drinking Water Corrected,87.23
Drinking Water Corrected,4680
Drinking Water Corrected,3120
Drinking Water Corrected,3120
Drinking Water Corrected,1560
Drinking Water Corrected,3120
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,1560
Drinking Water Corrected,12.91
Drinking Water Corrected,7.24
Drinking Water Corrected,13.914
Drinking Water Corrected,3.276
Drinking Water Corrected,1.638
Drinking Water Corrected,11.232
Drinking Water Corrected,5.81
Drinking Water Corrected,3.29
Drinking Water Corrected,0
Drinking Water Corrected,11.95
Drinking Water Corrected,6.89
Drinking Water Corrected,4.93
Drinking Water Corrected,7.06
Drinking Water Corrected,16.63
Drinking Water Corrected,6.43
Drinking Water Corrected,1.206
Drinking Water Corrected,7.794
Drinking Water Corrected,5.994
Drinking Water Corrected,2.39
Drinking Water Corrected,0
Drinking Water Corrected,25.74
Drinking Water Corrected,4.19
Drinking Water Corrected,2.39
Drinking Water Corrected,3.6
Drinking Water Corrected,5.4
Drinking Water Corrected,14.4
Drinking Water Corrected,14.4
Drinking Water Corrected,28.42
Drinking Water Corrected,239.54
Drinking Water Corrected,101.5
Drinking Water Corrected,22.33
Drinking Water Corrected,0.01
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0.01421
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0.01
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,81.78
Drinking Water Corrected,0.19
Drinking Water Corrected,371.358
Drinking Water Corrected,48.73
Drinking Water Corrected,0.52
Drinking Water Corrected,0.15
Drinking Water Corrected,0.19935
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,4.05
Drinking Water Corrected,2.51
Drinking Water Corrected,2.23
Drinking Water Corrected,1.68
Drinking Water Corrected,1.8148
Drinking Water Corrected,0.9772
Drinking Water Corrected,1.54
Drinking Water Corrected,1.396
Drinking Water Corrected,4.19
Drinking Water Corrected,1.68
Drinking Water Corrected,1.8148
Drinking Water Corrected,1.54
Drinking Water Corrected,3.7692
Drinking Water Corrected,1.26
Drinking Water Corrected,0.56
Drinking Water Corrected,2.65
Drinking Water Corrected,2.37
Drinking Water Corrected,1.8148
Drinking Water Corrected,9778.98
Drinking Water Corrected,7273.16
Drinking Water Corrected,6777.58
Drinking Water Corrected,14
Drinking Water Corrected,151
Drinking Water Corrected,1
Drinking Water Corrected,1
Drinking Water Corrected,382
Drinking Water Corrected,213
Drinking Water Corrected,347
Drinking Water Corrected,119
Drinking Water Corrected,248
Drinking Water Corrected,128
Drinking Water Corrected,1411
Drinking Water Corrected,168
Drinking Water Corrected,67
Drinking Water Corrected,932
Drinking Water Corrected,29
Drinking Water Corrected,96
Drinking Water Corrected,2649
Drinking Water Corrected,4889
Drinking Water Corrected,6298
Drinking Water Corrected,15
Drinking Water Corrected,117
Drinking Water Corrected,56
Drinking Water Corrected,11
Drinking Water Corrected,32
Drinking Water Corrected,1
Drinking Water Corrected,0.4
Drinking Water Corrected,0.14
Drinking Water Corrected,0.06
Drinking Water Corrected,0.4
Drinking Water Corrected,0.1
Drinking Water Corrected,0.3
Drinking Water Corrected,1.3
Drinking Water Corrected,2.5
Drinking Water Corrected,0.4
Drinking Water Corrected,0.27
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,3.8
Drinking Water Corrected,233
Drinking Water Corrected,0.1
Drinking Water Corrected,0.01
Drinking Water Corrected,0.02
Drinking Water Corrected,0.05
Drinking Water Corrected,0.06
Drinking Water Corrected,0.09
Drinking Water Corrected,0.13
Drinking Water Corrected,2.75
Drinking Water Corrected,0
Drinking Water Corrected,0.07
Drinking Water Corrected,94.37
Drinking Water Corrected,4.23
Drinking Water Corrected,6292
Drinking Water Corrected,4889
Drinking Water Corrected,2649
Drinking Water Corrected,980
Drinking Water Corrected,325
Drinking Water Corrected,317
Drinking Water Corrected,242
Drinking Water Corrected,140
Drinking Water Corrected,131
Drinking Water Corrected,118
Drinking Water Corrected,52
Drinking Water Corrected,50
Drinking Water Corrected,26
Drinking Water Corrected,14
Drinking Water Corrected,11
Drinking Water Corrected,8.5
Drinking Water Corrected,1.8
Drinking Water Corrected,1.41
Drinking Water Corrected,338
Drinking Water Corrected,151
Drinking Water Corrected,61
Drinking Water Corrected,56
Drinking Water Corrected,14
Drinking Water Corrected,13
Drinking Water Corrected,6
Drinking Water Corrected,14
Drinking Water Corrected,2.75
Drinking Water Corrected,2.18
Drinking Water Corrected,0.17
Drinking Water Corrected,0.06
Drinking Water Corrected,0.07
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,2649
Drinking Water Corrected,4889
Drinking Water Corrected,6292
Drinking Water Corrected,315
Drinking Water Corrected,195.7
Drinking Water Corrected,54200000
Drinking Water Corrected,140
Drinking Water Corrected,52
Drinking Water Corrected,1.5
Drinking Water Corrected,0.48
Drinking Water Corrected,0.28
Drinking Water Corrected,0.18
Drinking Water Corrected,0.96
Drinking Water Corrected,0.91
Drinking Water Corrected,2.76
Drinking Water Corrected,0.5
Drinking Water Corrected,1.76
Drinking Water Corrected,28.4
Drinking Water Corrected,0.13
Drinking Water Corrected,0.05
Drinking Water Corrected,2.7
Drinking Water Corrected,0.3
Drinking Water Corrected,0.6
Drinking Water Corrected,0.59
Drinking Water Corrected,0.59
Drinking Water Corrected,30.6
Drinking Water Corrected,1.72
Drinking Water Corrected,22.9
Drinking Water Corrected,2.9
Drinking Water Corrected,7.9
Drinking Water Corrected,30.3
Drinking Water Corrected,14.3
Drinking Water Corrected,8.25
Drinking Water Corrected,0.24
Drinking Water Corrected,0.34
Drinking Water Corrected,20.96
Drinking Water Corrected,31.85
Drinking Water Corrected,40.67
Drinking Water Corrected,20.44
Drinking Water Corrected,0.78
Drinking Water Corrected,0.62
Drinking Water Corrected,0.1
Drinking Water Corrected,0.07
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,400
Drinking Water Corrected,750
Drinking Water Corrected,300
Drinking Water Corrected,120.3
Drinking Water Corrected,1.05
Drinking Water Corrected,13.5
Drinking Water Corrected,0.03
Drinking Water Corrected,0.01
Drinking Water Corrected,0.1
Drinking Water Corrected,0.02
Drinking Water Corrected,6.84
Drinking Water Corrected,35
Drinking Water Corrected,2.84
Drinking Water Corrected,1.82
Drinking Water Corrected,5.9
Drinking Water Corrected,3
Drinking Water Corrected,7
Drinking Water Corrected,14
Drinking Water Corrected,0.27
Drinking Water Corrected,0.4
Drinking Water Corrected,0.42
Drinking Water Corrected,1.91
Drinking Water Corrected,2.11
Drinking Water Corrected,0.58
Drinking Water Corrected,1.97
Drinking Water Corrected,7.3
Drinking Water Corrected,0.4
Drinking Water Corrected,0.52
Drinking Water Corrected,0.2
Drinking Water Corrected,0.44
Drinking Water Corrected,0.14
Drinking Water Corrected,0.28
Drinking Water Corrected,0.11
Drinking Water Corrected,39
Drinking Water Corrected,61
Drinking Water Corrected,65
Drinking Water Corrected,81
Drinking Water Corrected,56
Drinking Water Corrected,55
Drinking Water Corrected,55
Drinking Water Corrected,0.34
Drinking Water Corrected,148
Drinking Water Corrected,0.25
Drinking Water Corrected,1
Drinking Water Corrected,49
Drinking Water Corrected,33
Drinking Water Corrected,297
Drinking Water Corrected,66
Drinking Water Corrected,0.31
Drinking Water Corrected,0.44
Drinking Water Corrected,0.92
Drinking Water Corrected,1.08
Drinking Water Corrected,12.8
Drinking Water Corrected,41.77
Drinking Water Corrected,16.4
Drinking Water Corrected,131.36
Drinking Water Corrected,0.98
Drinking Water Corrected,4
Drinking Water Corrected,0.01
Drinking Water Corrected,2
Drinking Water Corrected,7
Drinking Water Corrected,4.11
Drinking Water Corrected,1.6
Drinking Water Corrected,0.7
Drinking Water Corrected,0.6
Drinking Water Corrected,15.7
Drinking Water Corrected,3.7
Drinking Water Corrected,17.6
Drinking Water Corrected,17.2
Drinking Water Corrected,0.09
Drinking Water Corrected,0.05
Drinking Water Corrected,5.9
Drinking Water Corrected,2.6
Drinking Water Corrected,0.1
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0.4
Drinking Water Corrected,0.51
Drinking Water Corrected,0.51
Drinking Water Corrected,0.55
Drinking Water Corrected,0.6
Drinking Water Corrected,0.61
Drinking Water Corrected,0.63
Drinking Water Corrected,0.75
Drinking Water Corrected,0.56
Drinking Water Corrected,0.6
Drinking Water Corrected,0.39
Drinking Water Corrected,0.36
Drinking Water Corrected,0.75
Drinking Water Corrected,0.54
Drinking Water Corrected,NA
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,0
Drinking Water Corrected,NA
Drinking Water Corrected,11
Drinking Water Corrected,31
Drinking Water Corrected,20
River Corrected,0.8642
River Corrected,0.8526
River Corrected,0.232
River Corrected,0.203
River Corrected,0.1276
River Corrected,0.7888
River Corrected,40.8
River Corrected,24.65
River Corrected,9.35
River Corrected,10.2
River Corrected,2.55
River Corrected,1.7
River Corrected,18.7
River Corrected,14.45
River Corrected,4.25
River Corrected,3.4
River Corrected,22.95
River Corrected,28.05
River Corrected,21.25
River Corrected,74898335.61
River Corrected,42799048.92
River Corrected,213995244.6
River Corrected,20210661.99
River Corrected,4.25
River Corrected,7.65
River Corrected,6.8
River Corrected,5.95
River Corrected,7.65
River Corrected,0.2646
River Corrected,292034.3833
River Corrected,0
River Corrected,0
River Corrected,10871643.63
River Corrected,1526543.367
River Corrected,132742.9015
River Corrected,53097.1606
River Corrected,53097.1606
River Corrected,26548.5803
River Corrected,501353.8126
River Corrected,205094.7794
River Corrected,411483.9694
River Corrected,188289.8727
River Corrected,203105.0471
River Corrected,560572.3643
River Corrected,165985.0794
River Corrected,70731.14881
River Corrected,527417.945
River Corrected,15.42002
River Corrected,13.878018
River Corrected,13.878018
River Corrected,13.878018
River Corrected,13.878018
River Corrected,12.336016
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,7.707511051
River Corrected,7.201191744
River Corrected,6.368697511
River Corrected,4.648193879
River Corrected,4.308723304
River Corrected,0.430281024
River Corrected,4.24053062
River Corrected,2.909099664
River Corrected,2.800098668
River Corrected,23.16451941
River Corrected,20.20028946
River Corrected,1.444175727
River Corrected,10.33468464
River Corrected,10.26159356
River Corrected,10.17521849
River Corrected,0.833272145
River Corrected,1166209.053
River Corrected,30390.6937
River Corrected,6673.3274
River Corrected,3246.4836
River Corrected,2705.403
River Corrected,1983.9622
River Corrected,1623.2418
River Corrected,631.2607
River Corrected,0
River Corrected,11.203472
River Corrected,11.203472
River Corrected,11.203472
River Corrected,188.124244
River Corrected,188.124244
River Corrected,188.124244
River Corrected,188.124244
River Corrected,158.826206
River Corrected,158.826206
River Corrected,158.826206
River Corrected,157.284204
River Corrected,157.284204
River Corrected,157.284204
River Corrected,109.482142
River Corrected,109.482142
River Corrected,109.482142
River Corrected,109.482142
River Corrected,107.94014
River Corrected,107.94014
River Corrected,107.94014
River Corrected,84.81011
River Corrected,84.81011
River Corrected,84.81011
River Corrected,84.81011
River Corrected,63.222082
River Corrected,63.222082
River Corrected,63.222082
River Corrected,61.68008
River Corrected,61.68008
River Corrected,61.68008
River Corrected,61.68008
River Corrected,57.054074
River Corrected,57.054074
River Corrected,57.054074
River Corrected,57.054074
River Corrected,52.428068
River Corrected,52.428068
River Corrected,52.428068
River Corrected,52.428068
River Corrected,50.886066
River Corrected,50.886066
River Corrected,50.886066
River Corrected,50.886066
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,40.092052
River Corrected,32.382042
River Corrected,32.382042
River Corrected,32.382042
River Corrected,32.382042
River Corrected,30.84004
River Corrected,30.84004
River Corrected,30.84004
River Corrected,30.84004
River Corrected,27.756036
River Corrected,27.756036
River Corrected,27.756036
River Corrected,26.214034
River Corrected,26.214034
River Corrected,26.214034
River Corrected,26.214034
River Corrected,23.13003
River Corrected,23.13003
River Corrected,23.13003
River Corrected,23.13003
River Corrected,20.046026
River Corrected,20.046026
River Corrected,20.046026
River Corrected,20.046026
River Corrected,18.504024
River Corrected,18.504024
River Corrected,18.504024
River Corrected,18.504024
River Corrected,18.504024
River Corrected,18.504024
River Corrected,15.42002
River Corrected,15.42002
River Corrected,15.42002
River Corrected,2.1850696
River Corrected,2.731337
River Corrected,0.2731337
River Corrected,1.3656685
River Corrected,0.2731337
River Corrected,14.4760861
River Corrected,10.794014
River Corrected,10.794014
River Corrected,10.794014
River Corrected,10.794014
River Corrected,9.252012
River Corrected,9.252012
River Corrected,9.252012
River Corrected,9.252012
River Corrected,7.71001
River Corrected,7.71001
River Corrected,7.71001
River Corrected,7.71001
River Corrected,4.626006
River Corrected,4.626006
River Corrected,4.626006
River Corrected,3164980.84
River Corrected,2744850.64
River Corrected,2744850.64
River Corrected,2590802.9
River Corrected,1666516.46
River Corrected,875271.25
River Corrected,567175.77
River Corrected,324900.688
River Corrected,275.885498
River Corrected,226.870308
River Corrected,214.266402
River Corrected,207.264232
River Corrected,163.850778
River Corrected,137.242532
River Corrected,44.813888
River Corrected,44.813888
River Corrected,17.7536905
River Corrected,63.3670184
River Corrected,47.7983975
River Corrected,15.8417546
River Corrected,244.9092767
River Corrected,26.4988286
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,1.45935
River Corrected,0.86346
River Corrected,0.57699
River Corrected,0.46278
River Corrected,0.46143
River Corrected,0.30159
River Corrected,0.300132
River Corrected,0.29916
River Corrected,0.2943
River Corrected,0.29025
River Corrected,0.28242
River Corrected,0.17064
River Corrected,0.15201
River Corrected,230605.56
River Corrected,94744.92
River Corrected,71505.6
River Corrected,48266.28
River Corrected,44691
River Corrected,33965.16
River Corrected,32177.52
River Corrected,21451.68
River Corrected,21451.68
River Corrected,21451.68
River Corrected,19664.04
River Corrected,19664.04
River Corrected,17876.4
River Corrected,14301.12
River Corrected,14301.12
River Corrected,14301.12
River Corrected,12513.48
River Corrected,12513.48
River Corrected,12513.48
River Corrected,10725.84
River Corrected,10725.84
River Corrected,10725.84
River Corrected,8938.2
River Corrected,7150.56
River Corrected,5362.92
River Corrected,5362.92
River Corrected,5362.92
River Corrected,5362.92
River Corrected,5362.92
River Corrected,3575.28
River Corrected,3575.28
River Corrected,3575.28
River Corrected,1787.64
River Corrected,0
River Corrected,557806.7625
River Corrected,88340.4375
River Corrected,157330.1125
River Corrected,13.304123
River Corrected,120.9974976
River Corrected,120.7174108
River Corrected,112.4548502
River Corrected,99.8509442
River Corrected,9.803038
River Corrected,94.529295
River Corrected,247.7367746
River Corrected,23.6673346
River Corrected,21.4266402
River Corrected,13.1640796
River Corrected,18.3456854
River Corrected,2.731337
River Corrected,1.9119359
River Corrected,0.5462674
River Corrected,0.5462674
River Corrected,0.2731337
River Corrected,0.5462674
River Corrected,0.5462674
River Corrected,0.2731337
River Corrected,0.2731337
River Corrected,0
River Corrected,0.2731337
River Corrected,0.8194011
River Corrected,4.9164066
River Corrected,0.0049616
River Corrected,3.19E-04
River Corrected,6.55E-04
River Corrected,6.94E-04
River Corrected,0
River Corrected,0.0018816
River Corrected,34.9611136
River Corrected,26.2208352
River Corrected,18.0268242
River Corrected,22.3969634
River Corrected,10.3790806
River Corrected,58.1774781
River Corrected,120.178828
River Corrected,40.6969213
River Corrected,16.388022
River Corrected,32.776044
River Corrected,30.044707
River Corrected,116.9012236
River Corrected,186.2771834
River Corrected,12.2910165
River Corrected,25.6745678
River Corrected,9.0134121
River Corrected,18.5730916
River Corrected,33.8685788
River Corrected,40.4237876
River Corrected,83.5789122
River Corrected,50.8028682
River Corrected,236.2606505
River Corrected,27.5865037
River Corrected,77.2968371
River Corrected,73.746099
River Corrected,29.4984396
River Corrected,12.0178828
River Corrected,37.4193169
River Corrected,134.9280478
River Corrected,90.4072547
River Corrected,72.6535642
River Corrected,54.765137
River Corrected,1952902.86
River Corrected,866069.964
River Corrected,832106.436
River Corrected,815124.672
River Corrected,713234.088
River Corrected,679270.56
River Corrected,662288.796
River Corrected,645307.032
River Corrected,645307.032
River Corrected,645307.032
River Corrected,611343.504
River Corrected,526434.684
River Corrected,526434.684
River Corrected,526434.684
River Corrected,458507.628
River Corrected,458507.628
River Corrected,424544.1
River Corrected,424544.1
River Corrected,407562.336
River Corrected,407562.336
River Corrected,407562.336
River Corrected,0.15093
River Corrected,0.14904
River Corrected,0.14526
River Corrected,0.14472
River Corrected,0.14202
River Corrected,0.13986
River Corrected,0.13986
River Corrected,0.13959
River Corrected,0.13311
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,0.00369927
River Corrected,0.00256284
River Corrected,0.00130788
River Corrected,0.0012933
River Corrected,0.001269
River Corrected,0.0011961
River Corrected,9.87E-04
River Corrected,9.45E-04
River Corrected,7.90E-04
River Corrected,6.83E-04
River Corrected,6.15E-04
River Corrected,5.76E-04
River Corrected,5.22E-04
River Corrected,3.90E-04
River Corrected,3.89E-04
River Corrected,3.87E-04
River Corrected,3.74E-04
River Corrected,3.49E-04
River Corrected,3.43E-04
River Corrected,2.95E-04
River Corrected,2.65E-04
River Corrected,2.25E-04
River Corrected,1.65E-04
River Corrected,1.50E-04
River Corrected,1.46E-04
River Corrected,1.42E-04
River Corrected,6.64E-05
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,NA
River Corrected,0.0062832
River Corrected,0.0030184
River Corrected,4.48E-04
River Corrected,0
River Corrected,0.003696
River Corrected,0.0014168
River Corrected,0.0057568
River Corrected,0.0016576
River Corrected,0.0020888
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,0.0024472
River Corrected,0.0033152
River Corrected,5.21E-04
River Corrected,2.69E-04
River Corrected,0.0017584
River Corrected,1.755
River Corrected,1.89
River Corrected,0.54
River Corrected,0.54
River Corrected,3.24
River Corrected,5.94
River Corrected,2.16
River Corrected,0.405
River Corrected,0.27
River Corrected,0.81
River Corrected,2.16
River Corrected,3.51
River Corrected,6.48
River Corrected,1.62
River Corrected,2.16
River Corrected,2.7
River Corrected,1.08
River Corrected,4.32
River Corrected,100.088009
River Corrected,379.579053
River Corrected,94.42265
River Corrected,49.099778
River Corrected,24.549889
River Corrected,124.637898
River Corrected,92.534197
River Corrected,88.757291
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,407562.336
River Corrected,407562.336
River Corrected,407562.336
River Corrected,390580.572
River Corrected,390580.572
River Corrected,390580.572
River Corrected,356617.044
River Corrected,305671.752
River Corrected,271708.224
River Corrected,271708.224
River Corrected,271708.224
River Corrected,271708.224
River Corrected,254726.46
River Corrected,254726.46
River Corrected,254726.46
River Corrected,254726.46
River Corrected,254726.46
River Corrected,254726.46
River Corrected,254726.46
River Corrected,220762.932
River Corrected,203781.168
River Corrected,203781.168
River Corrected,203781.168
River Corrected,203781.168
River Corrected,203781.168
River Corrected,152835.876
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,135854.112
River Corrected,118872.348
River Corrected,118872.348
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,101890.584
River Corrected,145977.4169
River Corrected,104997.9868
River Corrected,344642.6725
River Corrected,118217.1578
River Corrected,201497.9351
River Corrected,187334.5376
River Corrected,101890.584
River Corrected,101890.584
River Corrected,16981.764
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
River Corrected,0
