DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,morphologydirty,fiber,foams,films,fragments,pellets,foam,line,film,fibers,beads,spheres,spherical,other,styrofoam,sheets,polystyrene,extruded polystyrene,fragment
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 420,N/A,river water,4,particles total in sample (normalized to 0.5 L),8,4 fragments; 14 fibers,,,,0.222222222,,,,,0.777777778,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 428,N/A,river water,40,particles total in sample (normalized to 0.5 L),80,40 fragments; 67 fibers,,,,0.373831776,,,,,0.626168224,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 388,N/A,river water,5,particles total in sample (normalized to 0.5 L),10,5 fragments; 11 fibers,,,,0.3125,,,,,0.733333333,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 415,N/A,river water,53,particles total in sample (normalized to 0.5 L),106,53 fragments; 24 fibers,,,,2.208333333,,,,,0.311688312,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 407,N/A,river water,6,particles total in sample (normalized to 0.5 L),12,6 fragments; 15 fibers,,,,0.285714286,,,,,0.714285714,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 402,N/A,river water,6,particles total in sample (normalized to 0.5 L),12,6 fragments; 47 fibers,,,,0.113207547,,,,,0.886792453,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 399,N/A,river water,6,particles total in sample (normalized to 0.5 L),12,6 fragments; 48 fibers,,,,0.111111111,,,,,0.888888889,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 404,N/A,river water,7,particles total in sample (normalized to 0.5 L),14,7 fragments; 15 fibers,,,,0.318181818,,,,,0.681818182,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 425,N/A,river water,7,particles total in sample (normalized to 0.5 L),14,7 fragments; 20 fibers,,,,0.259259259,,,,,0.740740741,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 395,N/A,river water,7,particles total in sample (normalized to 0.5 L),14,7 fragments; 85 fibers,,,,0.076086957,,,,,0.923913043,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 409,N/A,river water,8,particles total in sample (normalized to 0.5 L),16,8 fragments; 20 fibers,,,,0.285714286,,,,,0.714285714,,,,,,,,,
