material,material_raw,count
PE+PS,PE_PS,96.8
PS,PS,0.018
PS,PS,4.081
PS,PS,77.55
PS,PS,44.44
PS,PS,27.72
PS,PS,19.14
PS,PS,90.86
PS,PS,23.43
PS,PS,0.4092
PS,PS,18.15
PS,PS,8.206
PS,PS,75.46
PS,PS,2.2
PS,PS,4.103
PS,PS,21.67
PS,PS,6.402
PS,PS,155.1
PS,PS,22.44
PS,PS,4.411
PS,PS,1.375
PS,PS,16.5
PS,PS,250.47
PS,PS,5.423
PS,PS,51.48
PS,PS,3.333
PS,PS,17.16
PS,PS,7.337
PS,PS,7.381
PS,PS,0.1475
PS,PS,73.65
PS,PS,90.6
PS,PS,180.25
PS,PS,28.6
PS,PS,8.125
PS,PS,0
PS,PS,16.185
PS,PS,56.68
PS,PS,16.185
PS,PS,24.31
PS,PS,32.435
PS,PS,16.185
PS,PS,32.435
PS,PS,24.31
PS,PS,16.185
PS,PS,16.185
PS,PS,16.185
PS,PS,24.31
PS,PS,48.62
PS,PS,24.31
PS,PS,81.055
PS,PS,40.495
PS,PS,32.435
PS,PS,24.31
PS,PS,8.125
PS,PS,32.435
PS,PS,16.185
PS,PS,32.435
PS,PS,16.185
PS,PS,0
PS,PS,81.055
PS,PS,24.31
PS,PS,40.495
PS,PS,32.435
PS,PS,32.435
PS,PS,24.31
PS,PS,48.62
PS,PS,40.495
PS,PS,16.185
PS,PS,24.31
PS,PS,16.185
PS,PS,48.62
PS,PS,0.0028
PS,PS,0.00357
PS,PS,0.00357
PS,PS,0.00385
PS,PS,0.0042
PS,PS,0.004235
PS,PS,0.00441
PS,PS,0.00525
PS,PS,0.00392
PS,PS,0.0042
PS,PS,0.00273
PS,PS,0.00252
PS,PS,0.00525
PS,PS,0.00378
CA,CA,0.1798
CA,CA,0.1008
CA,CA,0.1792
CA,CA,0.1008
CA,CA,0.0598
CA,CA,0.0798
CA,CA,0.0396
CA,CA,0.14
CA,CA,0.078
CA,CA,0.0792
CA,CA,0.1404
CA,CA,0.121
CA,CA,0.162
CA,CA,0.0594
CA,CA,0.08
CA,CA,0.0798
CA,CA,0.119
CA,CA,0.0806
PVC,PVC,8.86
PVC,PVC,6.76
PVC,PVC,12.56
PVC,PVC,560
PVC,PVC,100.4
PVC,PVC,650
PVC,PVC,200.5
PVC,PVC,200.8
PVC,PVC,200
PVC,PVC,90
PVC,PVC,9.80E-05
PVC,PVC,73.65
PVC,PVC,90.6
PVC,PVC,180.25
PVC,PVC,6.16
PVC,PVC,2.288
PVC,PVC,1.232
PVC,PVC,0.308
PVC,PVC,0.286
PVC,PVC,0.132
PAM,PAM,70.88
PAM,PAM,54.08
PAM,PAM,100.48
PET,PET,0.017
PET,PET,190.49
PET,PET,145.34
PET,PET,270.04
PET,PET,0.15
PET,PET,0.05
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0.1475
PET,PET,2066.22
PET,PET,3813.42
PET,PET,4907.76
PET,PET,765.96
PET,PET,942.24
PET,PET,1874.6
PET,PET,14.52
PET,PET,39.76
PET,PET,14.768
PET,PET,15.904
PET,PET,3.976
PET,PET,3.692
PET,PET,1.704
PET,PET,4.125
PET,PET,0
PET,PET,8.217
PET,PET,28.776
PET,PET,8.217
PET,PET,12.342
PET,PET,16.467
PET,PET,8.217
PET,PET,16.467
PET,PET,12.342
PET,PET,8.217
PET,PET,8.217
PET,PET,8.217
PET,PET,12.342
PET,PET,24.684
PET,PET,12.342
PET,PET,41.151
PET,PET,20.559
PET,PET,16.467
PET,PET,12.342
PET,PET,4.125
PET,PET,16.467
PET,PET,8.217
PET,PET,16.467
PET,PET,8.217
PET,PET,0
PET,PET,41.151
PET,PET,12.342
PET,PET,20.559
PET,PET,16.467
PET,PET,16.467
PET,PET,12.342
PET,PET,24.684
PET,PET,20.559
PET,PET,8.217
PET,PET,12.342
PET,PET,8.217
PET,PET,24.684
PET,PET,485.5220663
PET,PET,0.3272
PET,PET,0.41718
PET,PET,0.41718
PET,PET,0.4499
PET,PET,0.4908
PET,PET,0.49489
PET,PET,0.51534
PET,PET,0.6135
PET,PET,0.45808
PET,PET,0.4908
PET,PET,0.31902
PET,PET,0.29448
PET,PET,0.6135
PET,PET,0.44172
Vinyl,Vinyl,1092.3
Vinyl,Vinyl,1042
Vinyl,Vinyl,252
Vinyl,Vinyl,230
Vinyl,Vinyl,140
Vinyl,Vinyl,130.1
Vinyl,Vinyl,0.1
Vinyl,Vinyl,0.2
Vinyl,Vinyl,0.07
Vinyl,Vinyl,0.14
Vinyl,Vinyl,2.68
Vinyl,Vinyl,0.1
Vinyl,Vinyl,0
Vinyl,Vinyl,0
Vinyl,Vinyon,2030
Vinyl,Vinyon,504.1
Vinyl,Vinyon,552.4
Vinyl,Vinyon,232
Vinyl,Vinyon,161.5
Vinyl,Vinyon,55
Vinyl,Vinyon,30
Other,Other,22.15
Other,Other,16.9
Other,Other,31.4
Other,Other,0.25
Other,Other,0.26
Other,Other,0.19
Other,Other,0.13
Other,Other,0.17
Other,Other,0.09
Other,Other,0
Other,Other,26.49
Other,Other,48.89
Other,Other,62.92
Other,Other,88.38
Other,Other,108.72
Other,Other,216.3
Other,Other,43.12
Other,Other,12.25
Other,Other,0
Other,Other,24.402
Other,Other,85.456
Other,Other,24.402
Other,Other,36.652
Other,Other,48.902
Other,Other,24.402
Other,Other,48.902
Other,Other,36.652
Other,Other,24.402
Other,Other,24.402
Other,Other,24.402
Other,Other,36.652
Other,Other,73.304
Other,Other,36.652
Other,Other,122.206
Other,Other,61.054
Other,Other,48.902
Other,Other,36.652
Other,Other,12.25
Other,Other,48.902
Other,Other,24.402
Other,Other,48.902
Other,Other,24.402
Other,Other,0
Other,Other,122.206
Other,Other,36.652
Other,Other,61.054
Other,Other,48.902
Other,Other,48.902
Other,Other,36.652
Other,Other,73.304
Other,Other,61.054
Other,Other,24.402
Other,Other,36.652
Other,Other,24.402
Other,Other,73.304
Other,Other,82.0882635
Other,Other,0.0416
Other,Other,0.05304
Other,Other,0.05304
Other,Other,0.0572
Other,Other,0.0624
Other,Other,0.06292
Other,Other,0.06552
Other,Other,0.078
Other,Other,0.05824
Other,Other,0.0624
Other,Other,0.04056
Other,Other,0.03744
Other,Other,0.078
Other,Other,0.05616
PA+ER,PA;ER,6.30E-05
PTT,PTT,29.46
PTT,PTT,36.24
PTT,PTT,72.1
PE+PP,co pe-pp,27.5
PE+PP,co pe-pp,0
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,191.84
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,164.56
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,274.34
PE+PP,co pe-pp,137.06
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,27.5
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,0
PE+PP,co pe-pp,274.34
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,137.06
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,109.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,164.56
