study_media,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,correction_factor_upper,corrected_concentration_lower,corrected_concentration_upper
freshwatersediment,35,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam3SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,5.95,0.193026871,0.142507766,6.755940473,4.987771825
freshwatersediment,45,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam5SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,7.65,0.193026871,0.142507766,8.68620918,6.412849489
freshwatersurface,0.98,0.45,5000,doi.org/10.1016/j.marpolbul.2017.07.028,average|doi.org/10.1016/j.marpolbul.2017.07.028,N/A,,2.64,,0.27,0.2646,0.272104737,0.267793725,0.266662642,0.262437851
freshwatersurface,0.022,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.6,N/A,,2.64,,13274290.15,292034.3833,12268479.89,14363093.66,269906.5576,315988.0605
freshwatersurface,0,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.6,N/A,,2.64,,13274290.15,0,12268479.89,14363093.66,0,0
freshwatersurface,0,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.6,N/A,,2.64,,13274290.15,0,12268479.89,14363093.66,0,0
freshwatersurface,0.819,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.2,N/A,,2.64,,13274290.15,10871643.63,12268479.89,14363093.66,10047885.03,11763373.71
freshwatersurface,0.115,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.2,N/A,,2.64,,13274290.15,1526543.367,12268479.89,14363093.66,1410875.187,1651755.771
freshwatersurface,0.01,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.2,N/A,,2.64,,13274290.15,132742.9015,12268479.89,14363093.66,122684.7989,143630.9366
freshwatersurface,0.004,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.4,N/A,,2.64,,13274290.15,53097.1606,12268479.89,14363093.66,49073.91956,57452.37464
freshwatersurface,0.004,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.4,N/A,,2.64,,13274290.15,53097.1606,12268479.89,14363093.66,49073.91956,57452.37464
freshwatersurface,0.002,4750,5000,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.4,N/A,,2.64,,13274290.15,26548.5803,12268479.89,14363093.66,24536.95978,28726.18732
freshwatersurface,2.65483871,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|1,doi.org/10.1002/eap.2429|1.benthic,,2.64,,188845.3,501353.8126,176741.5455,201785.0857,469220.2968,535706.8567
freshwatersurface,1.086046512,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|2,doi.org/10.1002/eap.2429|2.benthic,,2.64,,188845.3,205094.7794,176741.5455,201785.0857,191949.5391,219147.9885
freshwatersurface,2.178947368,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|3,doi.org/10.1002/eap.2429|3.benthic,,2.64,,188845.3,411483.9694,176741.5455,201785.0857,385110.5255,439679.0815
freshwatersurface,0.997058824,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|4,doi.org/10.1002/eap.2429|4.benthic,,2.64,,188845.3,188289.8727,176741.5455,201785.0857,176221.7176,201191.6003
freshwatersurface,1.075510204,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|5,doi.org/10.1002/eap.2429|5.benthic,,2.64,,188845.3,203105.0471,176741.5455,201785.0857,190087.3357,217021.9187
freshwatersurface,2.968421053,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|6,doi.org/10.1002/eap.2429|6.benthic,,2.64,,188845.3,560572.3643,176741.5455,201785.0857,524643.3247,598983.0967
freshwatersurface,0.878947368,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|7,doi.org/10.1002/eap.2429|7.benthic,,2.64,,188845.3,165985.0794,176741.5455,201785.0857,155346.5163,177358.47
freshwatersurface,0.374545455,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|8,doi.org/10.1002/eap.2429|8.benthic,,2.64,,188845.3,70731.14881,176741.5455,201785.0857,66197.74259,75577.68675
freshwatersurface,2.792857143,1130,1810,doi.org/10.1002/eap.2429,doi.org/10.1002/eap.2429|9,doi.org/10.1002/eap.2429|9.benthic,,2.64,,188845.3,527417.945,176741.5455,201785.0857,493613.8879,563556.9181
freshwatersurface,0.001,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 21.4,N/A,,2.64,,15420.02,15.42002,14545.77158,16346.9694,14.54577158,16.3469694
freshwatersurface,9.00E-04,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 2.1,N/A,,2.64,,15420.02,13.878018,14545.77158,16346.9694,13.09119442,14.71227246
freshwatersurface,9.00E-04,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 2.2,N/A,,2.64,,15420.02,13.878018,14545.77158,16346.9694,13.09119442,14.71227246
