DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,826,1073.8,82.6,107.38
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,213,276.9,21.3,27.69
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,3.72,4.836,0.372,0.4836
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,165,214.5,16.5,21.45
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,74.6,96.98,7.46,9.698
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,686,891.8,68.6,89.18
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,20,26,2,2.6
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,37.3,48.49,3.73,4.849
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,197,256.1,19.7,25.61
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,58.2,75.66,5.82,7.566
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,1410,1833,141,183.3
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,204,265.2,20.4,26.52
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,40.1,52.13,4.01,5.213
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,12.5,16.25,1.25,1.625
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,150,195,15,19.5
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,2277,2960.1,227.7,296.01
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,49.3,64.09,4.93,6.409
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,468,608.4,46.8,60.84
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,30.3,39.39,3.03,3.939
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,156,202.8,15.6,20.28
