DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 14,N/A,other plastic,polymeric,0.97881,freshwatersurface,8.00E-05,2.1850696,7.83E-05,2.138767975
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 15,N/A,other plastic,polymeric,0.97881,freshwatersurface,1.00E-04,2.731337,9.79E-05,2.673459969
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 16,N/A,other plastic,polymeric,0.97881,freshwatersurface,1.00E-05,0.2731337,9.79E-06,0.267345997
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 17,N/A,other plastic,polymeric,0.97881,freshwatersurface,5.00E-05,1.3656685,4.89E-05,1.336729984
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 18,N/A,other plastic,polymeric,0.97881,freshwatersurface,1.00E-05,0.2731337,9.79E-06,0.267345997
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 19,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00053,14.4760861,0.000518769,14.16933784
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 20,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00128,34.9611136,0.001252877,34.2202876
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 21,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00096,26.2208352,0.000939658,25.6652157
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 22,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00066,18.0268242,0.000646015,17.6448358
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 23,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00082,22.3969634,0.000802624,21.92237175
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 24,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00038,10.3790806,0.000371948,10.15914788
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 25,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00213,58.1774781,0.002084865,56.94469734
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 26,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.0044,120.178828,0.004306764,117.6322386
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 27,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00149,40.6969213,0.001458427,39.83455354
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 28,N/A,other plastic,polymeric,0.97881,freshwatersurface,6.00E-04,16.388022,0.000587286,16.04075981
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 29,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.0012,32.776044,0.001174572,32.08151963
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 30,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.0011,30.044707,0.001076691,29.40805966
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 31,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00428,116.9012236,0.004189307,114.4240867
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 32,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00682,186.2771834,0.006675484,182.3299699
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 33,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00045,12.2910165,0.000440465,12.03056986
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 34,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00094,25.6745678,0.000920081,25.13052371
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 35,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00033,9.0134121,0.000323007,8.822417898
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 36,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00068,18.5730916,0.000665591,18.17952779
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 37,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00124,33.8685788,0.001213724,33.15090362
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 38,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00148,40.4237876,0.001448639,39.56720754
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 39,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00306,83.5789122,0.002995159,81.80787505
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 40,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00186,50.8028682,0.001820587,49.72635542
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 41,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00865,236.2606505,0.008466707,231.2542873
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 42,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00101,27.5865037,0.000988598,27.00194569
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 43,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00283,77.2968371,0.002770032,75.65891712
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 44,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.0027,73.746099,0.002642787,72.18341916
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 45,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00108,29.4984396,0.001057115,28.87336766
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 46,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00044,12.0178828,0.000430676,11.76322386
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 47,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00137,37.4193169,0.00134097,36.62640157
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 48,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00494,134.9280478,0.004835321,132.0689225
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 49,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00331,90.4072547,0.003239861,88.49152497
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 50,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00266,72.6535642,0.002603635,71.11403517
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 51,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00065,17.7536905,0.000636227,17.3774898
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 52,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00232,63.3670184,0.002270839,62.02427128
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 53,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00175,47.7983975,0.001712918,46.78554946
 doi.org/10.1021/acsestwater.1c00072,doi.org/10.1021/acsestwater.1c00072 | 54,N/A,other plastic,polymeric,0.97881,freshwatersurface,0.00058,15.8417546,0.00056771,15.50606782
doi.org/10.1016/j.jwpe.2020.101640,Average|doi.org/10.1016/j.jwpe.2020.101640,N/A,PE,PE,0.02,freshwatersediment,63,74898335.61,1.26,1497966.712
doi.org/10.1016/j.jwpe.2020.101640,James|doi.org/10.1016/j.jwpe.2020.101640,N/A,PE,PE,0.02,freshwatersediment,36,42799048.92,0.72,855980.9784
doi.org/10.1016/j.jwpe.2020.101640,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,N/A,PE,PE,0.02,freshwatersediment,180,213995244.6,3.6,4279904.892
doi.org/10.1016/j.jwpe.2020.101640,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,N/A,PE,PE,0.02,freshwatersediment,17,20210661.99,0.34,404213.2398
doi.org/10.1016/j.jwpe.2020.101640,Average|doi.org/10.1016/j.jwpe.2020.101640,N/A,PP,PP,0.18,freshwatersediment,63,74898335.61,11.34,13481700.41
doi.org/10.1016/j.jwpe.2020.101640,James|doi.org/10.1016/j.jwpe.2020.101640,N/A,PP,PP,0.18,freshwatersediment,36,42799048.92,6.48,7703828.806
doi.org/10.1016/j.jwpe.2020.101640,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,N/A,PP,PP,0.18,freshwatersediment,180,213995244.6,32.4,38519144.03
doi.org/10.1016/j.jwpe.2020.101640,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,N/A,PP,PP,0.18,freshwatersediment,17,20210661.99,3.06,3637919.158
doi.org/10.1016/j.jwpe.2020.101640,Average|doi.org/10.1016/j.jwpe.2020.101640,N/A,PS,PS,0.17,freshwatersediment,63,74898335.61,10.71,12732717.05
doi.org/10.1016/j.jwpe.2020.101640,James|doi.org/10.1016/j.jwpe.2020.101640,N/A,PS,PS,0.17,freshwatersediment,36,42799048.92,6.12,7275838.316
doi.org/10.1016/j.jwpe.2020.101640,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,N/A,PS,PS,0.17,freshwatersediment,180,213995244.6,30.6,36379191.58
doi.org/10.1016/j.jwpe.2020.101640,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,N/A,PS,PS,0.17,freshwatersediment,17,20210661.99,2.89,3435812.538
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,11.5,1952902.86,1.495,253877.3718
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,5.1,866069.964,0.663,112589.0953
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,4.9,832106.436,0.637,108173.8367
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,4.8,815124.672,0.624,105966.2074
doi.org/10.1016/j.watres.2018.10.013,GR_Gallatin_Gateway_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,4.2,713234.088,0.546,92720.43144
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,4,679270.56,0.52,88305.1728
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.9,662288.796,0.507,86097.54348
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.8,645307.032,0.494,83889.91416
doi.org/10.1016/j.watres.2018.10.013,GR_Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.8,645307.032,0.494,83889.91416
doi.org/10.1016/j.watres.2018.10.013,Hellroaring_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.8,645307.032,0.494,83889.91416
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.6,611343.504,0.468,79474.65552
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.1,526434.684,0.403,68436.50892
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.1,526434.684,0.403,68436.50892
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,3.1,526434.684,0.403,68436.50892
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.7,458507.628,0.351,59605.99164
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.7,458507.628,0.351,59605.99164
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.5,424544.1,0.325,55190.733
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.5,424544.1,0.325,55190.733
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_5A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.4,407562.336,0.312,52983.10368
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.3,390580.572,0.299,50775.47436
doi.org/10.1016/j.watres.2018.10.013,GR_Gallatin_Gateway_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.3,390580.572,0.299,50775.47436
doi.org/10.1016/j.watres.2018.10.013,Porcupine_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.3,390580.572,0.299,50775.47436
doi.org/10.1016/j.watres.2018.10.013,Porcupine_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,2.1,356617.044,0.273,46360.21572
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.8,305671.752,0.234,39737.32776
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.6,271708.224,0.208,35322.06912
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.6,271708.224,0.208,35322.06912
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.6,271708.224,0.208,35322.06912
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.6,271708.224,0.208,35322.06912
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.5,254726.46,0.195,33114.4398
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.3,220762.932,0.169,28699.18116
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.2,203781.168,0.156,26491.55184
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.2,203781.168,0.156,26491.55184
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.2,203781.168,0.156,26491.55184
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.2,203781.168,0.156,26491.55184
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,1.2,203781.168,0.156,26491.55184
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.9,152835.876,0.117,19868.66388
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Bacon_Rind_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Bear_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Bacon_Rind_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_6A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Porcupine_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Porcupine_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.8,135854.112,0.104,17661.03456
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.7,118872.348,0.091,15453.40524
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.7,118872.348,0.091,15453.40524
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,Spanish_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PET,PET,0.13,freshwatersurface,0.6,101890.584,0.078,13245.77592
