items,items_raw,count
Fragment,fragments,4.571428576
Fragment,fragments,3.878787872
Fragment,fragments,7.52941176
Fragment,fragments,50.4
Fragment,fragments,28.8
Fragment,fragments,144
Fragment,fragments,13.6
Fragment,fragments,0.632
Fragment,fragments,0.536
Fragment,fragments,0.269249305
Fragment,fragments,0
Fragment,fragments,0.545
Fragment,fragments,0
Fragment,fragments,1.065378061
Fragment,fragments,2.7025
Fragment,fragments,0.000131
Fragment,fragments,0.001582
Fragment,fragments,0.000284875
Fragment,fragments,0.000152868
Fragment,fragments,0.0002226
Fragment,fragments,0.000203627
Fragment,fragments,0.000416
Fragment,fragments,0.002330908
Fragment,fragments,0.000644667
Fragment,fragments,0.00054
Fragment,fragments,0.000218
Fragment,fragments,0.001066
Fragment,fragments,4.78E-05
Fragment,fragments,0.0010094
Fragment,fragments,0.001210374
Fragment,fragments,0.000179038
Fragment,fragments,0.000609
Fragment,fragments,0.000225102
Fragment,fragments,0.000460427
Fragment,fragments,2.07E-05
Fragment,fragments,0.00073
Fragment,fragments,0.006653711
Nurdle,pellets,0.000450251
Fiber,fibers,232.4999999
Fiber,fibers,787.4999997
Fiber,fibers,122.5
Fiber,fibers,1.92
Fiber,fibers,1.8182
Fiber,fibers,13.35714285
Fiber,fibers,18.54285715
Fiber,fibers,10.90909092
Fiber,fibers,18.24
Fiber,fibers,19.27868854
Fiber,fibers,112.0263157
Fiber,fibers,15.75
Fiber,fibers,23.26530612
Fiber,fibers,2.666666668
Fiber,fibers,3.885714284
Fiber,fibers,3.272727272
Fiber,fibers,10.9375
Fiber,fibers,20.86363634
Fiber,fibers,4.714285716
Fiber,fibers,4.8
Fiber,fibers,5.526315792
Fiber,fibers,5.526315792
Fiber,fibers,5.709677418
Fiber,fibers,6.222222224
Fiber,fibers,50.09345792
Fiber,fibers,7.33333333
Fiber,fibers,33.03896107
Fiber,fibers,8.571428568
Fiber,fibers,10.64150944
Fiber,fibers,10.66666667
Fiber,fibers,9.545454548
Fiber,fibers,10.37037037
Fiber,fibers,12.9347826
Fiber,fibers,11.42857142
Fiber,fibers,12.12121213
Fiber,fibers,8.47058824
Fiber,fibers,3.15
Fiber,fibers,1.8
Fiber,fibers,9
Fiber,fibers,0.85
Fiber,fibers,0.0008455
Fiber,fibers,0.0076896
Fiber,fibers,0.0076718
Fiber,fibers,0.0071467
Fiber,fibers,0.0063457
Fiber,fibers,0.000623
Fiber,fibers,0.0060075
Fiber,fibers,0.0157441
Fiber,fibers,0.0015041
Fiber,fibers,0.0013617
Fiber,fibers,0.0008366
Fiber,fibers,0.0011659
Fiber,fibers,0.517
Fiber,fibers,0.518
Fiber,fibers,0.493
Fiber,fibers,1.075
Fiber,fibers,0.268750695
Fiber,fibers,0.554
Fiber,fibers,0
Fiber,fibers,0.552
Fiber,fibers,0.5558
Fiber,fibers,0.559
Fiber,fibers,1.117
Fiber,fibers,0.545
Fiber,fibers,0
Fiber,fibers,0
Fiber,fibers,1.714
Fiber,fibers,2.132621939
Fiber,fibers,2.7025
Fiber,fibers,2.137
Fiber,fibers,0.98
Fiber,fibers,1.49
Fiber,fibers,1.47
Fiber,fibers,1.36
Fiber,fibers,0.001582
Fiber,fibers,0.000246
Fiber,fibers,0.000284875
Fiber,fibers,0.000152396
Fiber,fibers,0.0003334
Fiber,fibers,0.000203627
Fiber,fibers,0.000416
Fiber,fibers,0.001166667
Fiber,fibers,0.000722
Fiber,fibers,0.000437447
Fiber,fibers,0.000653
Fiber,fibers,0.000355187
Fiber,fibers,9.56E-05
Fiber,fibers,0.010962956
Fiber,fibers,0.0004326
Fiber,fibers,0.003633626
Fiber,fibers,0.003524598
Fiber,fibers,0.001254962
Fiber,fibers,0.002436
Fiber,fibers,0.002249695
Fiber,fibers,0.00443
Fiber,fibers,0.002070573
Fiber,fibers,0.000248883
Fiber,fibers,0.00121
Fiber,fibers,0.010575898
Nurdle,beads,0.518
Nurdle,beads,1.046
Nurdle,beads,0.000394
