10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,bottled water,37.3,particles/L,37.3,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,bottled water,197,particles/L,197,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,bottled water,58.2,particles/L,58.2,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,bottled water,1410,particles/L,1410,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,bottled water,204,particles/L,204,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,bottled water,40.1,particles/L,40.1,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,bottled water,12.5,particles/L,12.5,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,bottled water,150,particles/L,150,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,bottled water,2277,particles/L,2277,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,bottled water,49.3,particles/L,49.3,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,bottled water,468,particles/L,468,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,bottled water,30.3,particles/L,30.3,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,bottled water,156,particles/L,156,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,bottled water,66.7,particles/L,66.7,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,bottled water,67.1,particles/L,67.1,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3390/w12113115,drinking_water|10.3390/w12113115,N/A,tap water,105.8,particles/L,105.8,,0.802,0.191,0.007,,,,,,,
10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,tap water,930,particles/L,930,0.24516129,0.666666667,,,,0.088172043,,,,,
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,tap water,400,particles/m3,0.4,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,tap water,510,particles/m3,0.51,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,tap water,510,particles/m3,0.51,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,tap water,550,particles/m3,0.55,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,tap water,600,particles/m3,0.6,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,tap water,605,particles/m3,0.605,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,tap water,630,particles/m3,0.63,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,tap water,750,particles/m3,0.75,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,tap water,560,particles/m3,0.56,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,tap water,600,particles/m3,0.6,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,tap water,390,particles/m3,0.39,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,tap water,360,particles/m3,0.36,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,tap water,750,particles/m3,0.75,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,tap water,540,particles/m3,0.54,0.0772,0.9071,0.0036,,0.0008,,,,0.0113,,
