source,material,n,density,lower_conf,upper_conf
polymerdatabase.com,Poly(ethylene naphthalate),N/A,1.35,1.328296133,1.371703867
polymerdatabase.com,Poly(ethylene phthalate),N/A,1.34,1.318296133,1.361703867
polymerdatabase.com,Polyglycolide,N/A,1.52,1.498296133,1.541703867
polymerdatabase.com,Poly(3-hydroxybutyrate),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Poly(4-hydroxybutyrate),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Polylactic acid,N/A,1.26,1.238296133,1.281703867
polymerdatabase.com,Polyacetal - Polyoxymethylene,N/A,1.23,1.208296133,1.251703867
polymerdatabase.com,Poly(3-butoxypropylene oxide),N/A,0.98,0.958296133,1.001703867
polymerdatabase.com,Poly(epichlorohydrin),N/A,1.34,1.318296133,1.361703867
polymerdatabase.com,Poly(ethylene glycol),N/A,1.13,1.108296133,1.151703867
polymerdatabase.com,Poly(hexamethylene oxide),N/A,0.96,0.938296133,0.981703867
polymerdatabase.com,Poly(3-methoxypropylene oxide),N/A,1.1,1.078296133,1.121703867
polymerdatabase.com,Poly[oxy(hexyloxymethyl)ethylene],N/A,0.97,0.948296133,0.991703867
polymerdatabase.com,Poly(oxymethylene-oxyethylene),N/A,1.17,1.148296133,1.191703867
polymerdatabase.com,Poly(oxymethylene-oxytetramethylene),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(propylene glycol),N/A,1,0.978296133,1.021703867
polymerdatabase.com,Poly(tetrahydrofuran),N/A,0.98,0.958296133,1.001703867
polymerdatabase.com,Poly(trimethylene glycol),N/A,1.06,1.038296133,1.081703867
polymerdatabase.com,"Poly[1,1-bis(chloromethyl)trimethylene oxide]",N/A,1.39,1.368296133,1.411703867
polymerdatabase.com,PEK - Poly(ether ketone),N/A,1.27,1.248296133,1.291703867
polymerdatabase.com,PEKK - Poly(ether ketone ketone),N/A,1.28,1.258296133,1.301703867
polymerdatabase.com,Poly(ethyleneketone),N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,Poly(propyleneketone),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(ether ether sulfone),N/A,1.33,1.308296133,1.351703867
polymerdatabase.com,Poly(ethersulfone),N/A,1.37,1.348296133,1.391703867
polymerdatabase.com,Poly(phenylsulfone),N/A,1.29,1.268296133,1.311703867
polymerdatabase.com,Bisphenol A Polysulfone,N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,PoIy(1-chloro-1-butenylene) (Polychloroprene),N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,Poly(1-bromo-1-butenylene) (Polybromoprene),N/A,1.7,1.678296133,1.721703867
polymerdatabase.com,Poly(4-bromostyrene),N/A,0.87,0.848296133,0.891703867
polymerdatabase.com,Poly(2-chlorostyrene),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Poly(3-chlorostyrene),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Poly(4-chlorostyrene),N/A,1.23,1.208296133,1.251703867
polymerdatabase.com,"Poly(2,5-difluorostyrene)",N/A,0.96,0.938296133,0.981703867
polymerdatabase.com,Poly(4-fluorostyrene),N/A,1.2,1.178296133,1.221703867
polymerdatabase.com,Poly(2-hydroxyethyl acrylate),N/A,1.31,1.288296133,1.331703867
polymerdatabase.com,Poly(2-hydroxyethyl methacrylate),N/A,1.25,1.228296133,1.271703867
polymerdatabase.com,Poly(2-hydroxypropyl methacrylate),N/A,1.33,1.308296133,1.351703867
polymerdatabase.com,"Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]",N/A,1.26,1.238296133,1.281703867
polymerdatabase.com,"Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]",N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]",N/A,1.23,1.208296133,1.251703867
polymerdatabase.com,"Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]",N/A,1.28,1.258296133,1.301703867
polymerdatabase.com,"Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]",N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(Bisphenol A isophthalate),N/A,1.21,1.188296133,1.231703867
polymerdatabase.com,Poly(butylene isophthalate),N/A,1.27,1.248296133,1.291703867
polymerdatabase.com,Poly(ethylene isophthalate),N/A,1.335,1.313296133,1.356703867
polymerdatabase.com,Poly[dimethyl itaconate],N/A,1.29,1.268296133,1.311703867
polymerdatabase.com,Poly[di(n-propyl) itaconate],N/A,1.15,1.128296133,1.171703867
polymerdatabase.com,Poly[di(n-butyl) itaconate],N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly[di(n-hexyl) itaconate],N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(N-acetylmethacrylamide),N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(N-benzyl methacrylamide),N/A,1.13,1.108296133,1.151703867
polymerdatabase.com,Poly(methacrylamide),N/A,1.13,1.108296133,1.151703867
polymerdatabase.com,Poly(N-tert-butylmethacrylamide),N/A,1.02,0.998296133,1.041703867
polymerdatabase.com,Poly(methacrylic acid),N/A,1.29,1.268296133,1.311703867
polymerdatabase.com,Poly(benzyl methacrylate),N/A,1.17,1.148296133,1.191703867
polymerdatabase.com,Poly(butyl methacrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(cyclohexyl methacrylate),N/A,1.1,1.078296133,1.121703867
polymerdatabase.com,Poly(decylmethacrylate),N/A,0.95,0.928296133,0.971703867
polymerdatabase.com,Poly(dodecylmethacrylate),N/A,0.93,0.908296133,0.951703867
polymerdatabase.com,Poly(2-ethoxyethyl methacrylate),N/A,1.09,1.068296133,1.111703867
polymerdatabase.com,Poly(ethyl methacrylate),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(hexyl methacrylate),N/A,1.01,0.988296133,1.031703867
polymerdatabase.com,Poly(isobutyl methacrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(isopropyl methacrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(octadecyl methacrylate),N/A,0.9,0.878296133,0.921703867
polymerdatabase.com,Poly(octyl methacrylate),N/A,0.97,0.948296133,0.991703867
polymerdatabase.com,Poly(2-phenylethyl methacrylate),N/A,1.13,1.108296133,1.151703867
polymerdatabase.com,Poly(phenyl methacrylate),N/A,1.21,1.188296133,1.231703867
polymerdatabase.com,Poly(propyl methacrylate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(2-chloroethyl methacrylate),N/A,1.32,1.298296133,1.341703867
polymerdatabase.com,Poly(sec-butyl methacrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(4-tert-butylcyclohexyl methacrylate),N/A,0.99,0.968296133,1.011703867
polymerdatabase.com,Poly(tert-butyl methacrylate),N/A,1.02,0.998296133,1.041703867
polymerdatabase.com,"Poly(2,2,3,3-tetrafluoropropyl methacrylate)",N/A,1.52,1.498296133,1.541703867
polymerdatabase.com,Poly(2-methoxystyrene),N/A,1.1,1.078296133,1.121703867
polymerdatabase.com,Poly(_-methylstyrene),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Poly(2-methylstyrene),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(3-methylstyrene),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(4-methylstyrene),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(4-tert-butylstyrene),N/A,0.95,0.928296133,0.971703867
polymerdatabase.com,Poly(p-phenylene),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(p-phenylene vinylene),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Poly(p-xylene),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(2-chloro-p-xylylene),N/A,1.2,1.178296133,1.221703867
polymerdatabase.com,"Poly(2,6-dimethyl-p-phenylene oxide)",N/A,1.06,1.038296133,1.081703867
polymerdatabase.com,"Poly(2,6-diphenyl-p-phenylene oxide)",N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(p-phenylene oxide),N/A,1.36,1.338296133,1.381703867
polymerdatabase.com,Poly(butylene sebacate),N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(ethylene sebacate),N/A,1.09,1.068296133,1.111703867
polymerdatabase.com,Poly(hexylene sebacate),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(diethylsiloxane) (PDES),N/A,0.99,0.968296133,1.011703867
polymerdatabase.com,Poly(dimethylsiloxane) (PDMS),N/A,0.965,0.943296133,0.986703867
polymerdatabase.com,Poly(methylphenylsiloxane) (PMPS),N/A,1.09,1.068296133,1.111703867
polymerdatabase.com,"Poly(1,4-butylene succinate)",N/A,1.26,1.238296133,1.281703867
polymerdatabase.com,Poly(ethylene succinate),N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,"Poly(1,6-hexylene succinate)",N/A,1.15,1.128296133,1.171703867
polymerdatabase.com,Poly(trimethylene succinate),N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,Poly(Bisphenol A terephthalate),N/A,1.21,1.188296133,1.231703867
polymerdatabase.com,Poly(cyclohexylenedimethylene terephthalate),N/A,1.2,1.178296133,1.221703867
polymerdatabase.com,Poly(trimethylene terephthalate),N/A,1.34,1.318296133,1.361703867
polymerdatabase.com,"Poly(thio-1,4-phenylene)",N/A,1.33,1.308296133,1.351703867
polymerdatabase.com,Poly(ethylene sulfide),N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,Poly(propylene sulfide),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(4-vinyl phenol),N/A,1.16,1.138296133,1.181703867
polymerdatabase.com,Poly(vinyl butyral),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(vinyl formal),N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,Poly(vinyl acetate),N/A,1.19,1.168296133,1.211703867
polymerdatabase.com,Poly(vinyl benzoate),N/A,1.2,1.178296133,1.221703867
polymerdatabase.com,Poly(vinyl butyrate),N/A,1.09,1.068296133,1.111703867
polymerdatabase.com,Poly(vinyl caproate),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Poly(vinyl formate),N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,Poly(vinyl propionate),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(vinyl stearate),N/A,0.95,0.928296133,0.971703867
polymerdatabase.com,Poly(vinyl valerate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(butyl vinyl ether),N/A,0.92,0.898296133,0.941703867
polymerdatabase.com,Poly(ethyl vinyl ether),N/A,0.97,0.948296133,0.991703867
polymerdatabase.com,Poly(hexyl vinyl ether),N/A,0.93,0.908296133,0.951703867
polymerdatabase.com,Poly(isobutyl vinyl ether),N/A,0.92,0.898296133,0.941703867
polymerdatabase.com,Poly(isopropyl vinyl ether),N/A,0.92,0.898296133,0.941703867
polymerdatabase.com,Poly(methyl vinyl ether),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(octyl vinyl ether),N/A,0.91,0.888296133,0.931703867
polymerdatabase.com,Poly(propyl vinyl ether),N/A,0.94,0.918296133,0.961703867
polymerdatabase.com,Poly(sec-butyl vinyl ether),N/A,0.92,0.898296133,0.941703867
polymerdatabase.com,Poly(vinyl ethyl ketone),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(vinyl methyl ketone),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(methyl isopropenyl ketone),N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(vinyl phenyl ketone),N/A,1.19,1.168296133,1.211703867
polymerdatabase.com,Poly(vinyl pyrrolidone),N/A,1.25,1.228296133,1.271703867
polymerdatabase.com,Poly(vinyl butyl sulfide),N/A,0.98,0.958296133,1.001703867
polymerdatabase.com,Poly(vinyl ethyl sulfide),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Poly(vinyl methyl sulfide),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(vinyl phenyl sulfide),N/A,1.15,1.128296133,1.171703867
polymerdatabase.com,Poly(vinyl propyl sulfide),N/A,1.02,0.998296133,1.041703867
Kooi_2021,polyethylene-oxidized,N/A,0.91,0.888296133,0.931703867
Kooi_2021,polyethylene-chlorinated,N/A,0.91,0.888296133,0.931703867
Kooi_2021,cellophane,N/A,1.2,1.178296133,1.221703867
Kooi_2021,cellulosechemicalmodified,N/A,1.2,1.178296133,1.221703867
Kooi_2021,nitrilerubber,N/A,1,0.978296133,1.021703867
Kooi_2021,polyester,N/A,1.35,1.328296133,1.371703867
Kooi_2021,acrylates/polyurethanes/varnish,N/A,1.2,1.178296133,1.221703867
Kooi_2021,ethylenemethacrylicacid,N/A,1.2,1.178296133,1.221703867
Kooi_2021,polychloroprene,N/A,1.23,1.208296133,1.251703867
Kooi_2021,polyisoprene-chlorinated,N/A,0.91,0.888296133,0.931703867
Kooi_2021,polycaprolactone,N/A,1.15,1.128296133,1.171703867
Kooi_2021,pi,N/A,1.6,1.578296133,1.621703867
Kooi_2021,polyoxymethylene,N/A,1.41,1.388296133,1.431703867
Kooi_2021,acrylonitrile-butadiene,N/A,1.2,1.178296133,1.221703867
Kooi_2021,rubbertype1,N/A,1.03,1.008296133,1.051703867
Kooi_2021,rubbertype2,N/A,1.03,1.008296133,1.051703867
Kooi_2021,rubbertype3,N/A,1.1,1.078296133,1.121703867
Kooi_2021,urea-formaldehyde,N/A,1.5,1.478296133,1.521703867
https://www.omnicalculator.com/construction/glass-weight,glass,19,2.5,2.397997083,2.602002917
https://www.theworldmaterial.com/density-of-metals/,metal,9,6.89,5.850354881,7.929645119
https://hal.science/hal-00615443/document,organic,N/A,0.38,0.301536217,0.458463783
"https://www.ncbi.nlm.nih.gov/books/NBK563048/#:~:text=Composition,-General%20composition%20of&text=The%20density%20of%20waterborne%20wall,6%2D10%2D2006).",paint,N/A,1.25,1.217306757,1.282693243
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8912506/#:~:text=TRWPs%20were%20found%20in%20the,density%20slightly%20tended%20to%20increase.",tire wear,N/A,1.45,1.286533786,1.613466214
https://www.omnicalculator.com/construction/asphalt,asphalt,N/A,2.3,2.234613515,2.365386485
https://www.omnicalculator.com/construction/asphalt,tire wear & asphalt,N/A,1.875,1.76057365,1.98942635
"https://www.eoas.ubc.ca/courses/eosc350/content/foundations/properties/density.htm#:~:text=Most%20of%20the%20rocks%20comprising,2.6%20and%202.7g%2Fcc.",mineral,N/A,2.65,2.617306757,2.682693243
