,Min,Max,Value,Test Name,Comment,ID,density,polymer
31418,NA,NA,1.41,ASTM D 792,NA,38453,1.41,PC
31419,NA,NA,0.89,ASTM D792,NA,38454,0.89,Thermoplastic Elastomers
31420,NA,NA,1.55,ISO 1183,NA,38455,1.55,Polyethylene Terephthalate
31421,0.95,0.962,NA,ASTM D792,NA,38456,0.956,HDPE
31422,NA,NA,1.04,ASTM D792,NA,38457,1.04,Polystyrene
31423,NA,NA,1.2,ASTM 792,NA,38458,1.2,Thermoplastic Elastomers
31424,NA,NA,1.3,ASTM D792,NA,38459,1.3,Thermoplastic Elastomers
31425,NA,NA,1.46,NA,NA,38460,1.46,Nylon 66
31426,NA,NA,1.14,DIN 53 479,NA,38461,1.14,Nylon 66
31427,0.02,NA,NA,NA,Minimum achievable; Single stage pre-expansion in continuous expander at atmospheric pressure,38463,NA,Polystyrene
31428,NA,NA,1.17,ASTM D792,NA,38465,1.17,Thermoplastic Elastomers
31429,NA,NA,0.905,ISO 1183,NA,38467,0.905,PP
31430,NA,NA,0.882,NA,NA,38470,0.882,Thermoplastic Elastomers
31431,NA,NA,1.21,ASTM D792,NA,38471,1.21,Cellulosic
31432,NA,NA,1.2,ISO 1183,NA,38472,1.2,Nylon 66
31433,NA,NA,0.927,NA,NA,38473,0.927,LLDPE
31434,0.93,0.94,NA,NA,NA,38474,0.935,HDPE
31435,NA,NA,1.2,ISO 1183,NA,38475,1.2,Polybutylene Terephthalate
31436,NA,NA,1.2,ISO 1183,NA,38475,1.2,PC
31437,NA,NA,1.24,DIN 53479,NA,38476,1.24,Nylon 66
31438,NA,NA,0.9,ASTM D792,NA,38477,0.9,Thermoplastic Elastomers
31439,NA,NA,1.24,ASTM D792,NA,38478,1.24,Polyphenylene EtherPPO
31440,NA,NA,1.9,ISO 1183,NA,38479,1.9,Thermoset Polyester
31441,NA,NA,0.94,NA,NA,38481,0.94,Ethylene Vinyl Acetate
31442,NA,NA,1.22,ASTM D792,NA,38482,1.22,Vinyl (PVC)
31443,NA,NA,1.41,ASTM D792,NA,38483,1.41,Vinyl (PVC)
31444,NA,NA,1.6,NA,NA,38484,1.6,Silicone
31445,NA,NA,2.4,NA,NA,38486,2.4,Epoxy
31446,NA,NA,1.82,NA,NA,38488,1.82,Epoxy
31447,NA,NA,1.07,DIN 53479,NA,38489,1.07,Thermoplastic Elastomers
31448,2.15,2.19,NA,NA,NA,38491,2.17,PTFE
31449,NA,NA,1.06,ASTM D792,NA,38492,1.06,ABS
31450,NA,NA,0.921,NA,NA,38494,0.921,LDPE
31451,NA,NA,1.6,ASTM D792,NA,38495,1.6,Polybutylene Terephthalate
31452,NA,NA,1.6,ASTM D792,NA,38495,1.6,PC
31453,NA,NA,1.07,ASTM D792,NA,38496,1.07,PP
31454,NA,NA,1.55,ASTM D792,NA,38497,1.55,Thermoset Polyimide
31455,NA,NA,1.16,ASTM D792,NA,38498,1.16,PP
31456,NA,NA,1.4,ISO 1183,NA,38499,1.4,Acetal
31457,NA,NA,0.932,ASTM D792,NA,38500,0.932,Thermoplastic Elastomers
31458,NA,NA,0.956,ISO 1183,NA,38501,0.956,HDPE
31459,NA,NA,0.98,ASTM D792,NA,38503,0.98,PP
31460,1.32,1.36,NA,ASTM D-792,NA,38504,1.34,Vinyl (PVC)
31461,NA,NA,0.917,ASTM D1505,NA,38505,0.917,LLDPE
31462,NA,NA,1.338,ISO 1183,NA,38506,1.338,Vinyl (PVC)
31463,NA,NA,1.3,ASTM D 792,NA,38507,1.3,Polybutylene Terephthalate
31464,NA,NA,0.91,ASTM D792,NA,38508,0.91,PP
31465,NA,NA,1.7,NA,NA,38509,1.7,Epoxy
31466,NA,NA,1.57,ASTM D 792,NA,38510,1.57,Polyphenylene Sulfide (PPS)
31467,NA,NA,1.04,ASTM D792,NA,38512,1.04,Polystyrene
31468,0.022,0.06,NA,NA,NA,38513,0.041,Polystyrene
31469,NA,NA,1.19,ASTM D792,NA,38514,1.19,Nylon 66
31470,NA,NA,1.1,ISO 1183,NA,38515,1.1,Thermoplastic Elastomers
31471,NA,NA,0.08,NA,NA,38517,0.08,Aramid
31472,NA,NA,0.08,NA,NA,38517,0.08,Phenolic
31473,NA,NA,1.23,ISO 1183,NA,38518,1.23,Nylon 6
31474,NA,NA,1.34,ASTM D 792,NA,38519,1.34,PC
31475,1.3,1.8,NA,ASTM D792,NA,38520,1.55,Rubber or Thermoset Elastomer
