,Min,Max,Value,Test Name,Comment,ID,density,polymer
1,NA,NA,1.21,ASTM D792,NA,1,1.21,Polyphenylene EtherPPO
2,NA,NA,0.9185,ASTM D1505,NA,2,0.9185,LDPE
3,NA,NA,0.924,NA,NA,5,0.924,LDPE
4,NA,NA,0.9,ASTM D792,NA,7,0.9,PP
5,NA,NA,1.15,ASTM D 792,NA,8,1.15,Nylon 612
6,NA,NA,1.24,ASTM D792-91,NA,9,1.24,PP
7,NA,NA,1.04,ISO 1183,NA,10,1.04,PP
8,NA,NA,1.74,ASTM D 792,NA,11,1.74,Liquid Crystal Polymer
9,NA,NA,0.953,ASTM D1505,NA,12,0.953,HDPE
10,NA,NA,1.15,ASTM D792,NA,13,1.15,Thermoplastic Elastomers
11,NA,NA,1.4,ASTM D792,NA,14,1.4,Polyphthalamide (PPA)
12,NA,NA,1.43,ASTM D792,NA,16,1.43,Vinyl (PVC)
13,NA,NA,0.96,ISO R1183,NA,17,0.96,Thermoplastic Elastomers
14,NA,NA,1.66,ISO 1183,NA,18,1.66,Nylon 6
15,NA,NA,0.92,ASTM-D792,NA,19,0.92,PP
16,NA,NA,1.13,ISO data,NA,20,1.13,Nylon 6
17,NA,NA,1.14,DIN 53479,NA,21,1.14,Nylon 6
18,NA,NA,1.14,ASTM D792,NA,22,1.14,Nylon 66
19,NA,NA,0.98,NA,NA,23,0.98,Rubber or Thermoset Elastomer
20,NA,NA,1.2,ASTM D792,NA,24,1.2,ABS
21,NA,NA,1.2,ASTM D792,NA,24,1.2,PC
22,NA,NA,1.26,ASTM D 792,NA,25,1.26,Polyethersulfone
23,NA,NA,0.91,ISO 1183,NA,26,0.91,PP
24,NA,NA,1.07,ASTM D792,NA,27,1.07,ABS
25,NA,NA,1.04,ASTM D792,NA,28,1.04,Polystyrene
26,NA,NA,0.94,ISO 1183,NA,29,0.94,Thermoplastic Elastomers
27,NA,NA,1.09,ISO 1183/A,NA,30,1.09,Nylon 6
28,NA,NA,1.19,ASTM D792,NA,31,1.19,PMMA
29,1.29,1.33,NA,ISO R 1183,NA,32,1.31,Vinyl (PVC)
30,NA,NA,1.13,NA,NA,33,1.13,Rubber or Thermoset Elastomer
31,NA,NA,0.99,ISO 1183,NA,34,0.99,PP
32,NA,NA,1.19,ASTM D792,NA,35,1.19,Vinyl (PVC)
33,NA,NA,1.52,ASTM D792,NA,36,1.52,Polybutylene Terephthalate
34,NA,NA,0.902,ASTM D792,NA,39,0.902,PP
35,1.12,1.15,NA,ISO 1183,NA,40,1.135,Nylon 6
36,2.13,2.22,NA,ASTM D792,NA,41,2.175,PTFE
37,NA,NA,1.06,ASTM D792,NA,42,1.06,Thermoplastic Polyurethane
38,NA,NA,1.06,ASTM D792,NA,42,1.06,Thermoplastic Elastomers
39,1.21,1.25,NA,ISO R 1184,NA,43,1.23,Vinyl (PVC)
40,NA,NA,1.21,ISO 1183-1,NA,44,1.21,Thermoplastic Polyurethane
41,NA,NA,0.96,ASTM D792,NA,45,0.96,Ethylene Vinyl Acetate
42,NA,NA,0.93,ASTM D792,NA,46,0.93,Thermoplastic Elastomers
43,1.31,1.35,NA,ASTM D792,NA,48,1.33,Vinyl (PVC)
44,NA,NA,1.49,ISO 1183,NA,49,1.49,Polybutylene Terephthalate
45,NA,NA,1.46,ASTM D792,NA,50,1.46,Polybutylene Terephthalate
46,NA,NA,1.33,ASTM D792,NA,51,1.33,Nylon 612
47,NA,NA,1.08,ISO 1183,NA,52,1.08,Styrene Acrylonitrile (SAN)
48,NA,NA,1.17,ASTM D792,NA,53,1.17,Nylon 66
49,NA,NA,1.49,ASTM D792,Dry,54,1.49,Nylon 6
50,NA,NA,1.13,ASTM D792,NA,55,1.13,Nylon 6
51,NA,NA,1.13,ISO 1183,NA,56,1.13,PP
52,NA,NA,0.95,ASTM D 792,NA,57,0.95,HDPE
53,NA,NA,1.29,ASTM D792,NA,58,1.29,Thermoplastic Polyurethane
54,NA,NA,1.29,ASTM D792,NA,58,1.29,PP
55,NA,NA,0.1,NA,NA,59,0.1,Aramid
56,NA,NA,0.1,NA,NA,59,0.1,Phenolic
57,NA,NA,1.25,ASTM D792,NA,60,1.25,Nylon 66
58,NA,NA,1.17,ASTM D 792,NA,61,1.17,ABS
59,NA,NA,2.9,ASTM D1475,NA,62,2.9,Epoxy
60,NA,NA,0.99,NA,NA,63,0.99,PP
61,NA,NA,1.07,ASTM D792,NA,64,1.07,Styrene Acrylonitrile (SAN)
62,NA,NA,0.92,ASTM D4025,NA,66,0.92,Thermoplastic Elastomers
63,NA,NA,1.19,ASTM D792,NA,67,1.19,ABS
64,NA,NA,1.19,ASTM D792,NA,67,1.19,PC
65,NA,NA,1.3,ASTM D 792,NA,68,1.3,PC
66,NA,NA,1.2,NA,NA,69,1.2,Vinyl (PVC)
67,NA,NA,1.59,ASTM D792,NA,70,1.59,Polyethylene Terephthalate
68,NA,NA,1.33,ASTM D792,NA,71,1.33,Polybutylene Terephthalate
69,NA,NA,0.91,ASTM D792,NA,73,0.91,Thermoplastic Elastomers
70,NA,NA,1.13,ISO 1183,NA,74,1.13,Nylon 66
71,NA,NA,1.52,ASTM D792,NA,75,1.52,Thermoset Polyester
72,NA,NA,1.52,ASTM D792,NA,76,1.52,Polybutylene Terephthalate
73,NA,NA,0.947,ASTM D 792,NA,77,0.947,HDPE
74,NA,NA,1.8,ISO 1183,NA,78,1.8,Thermoset Polyester
75,NA,NA,0.75,ASTM D3574,NA,80,0.75,PP
76,NA,NA,0.94,ASTM D792,NA,81,0.94,Ethylene Vinyl Acetate
77,NA,NA,0.99,ASTM D792,NA,82,0.99,Thermoplastic Elastomers
78,NA,NA,1.11,ISO 1183,NA,83,1.11,Nylon 6
79,0.89,NA,NA,NA,NA,84,NA,Thermoplastic Elastomers
80,NA,NA,1.4,ASTM D792,NA,85,1.4,Vinyl (PVC)
81,NA,NA,1.49,NA,NA,87,1.49,Epoxy
82,NA,NA,0.98,NA,NA,87,0.98,Epoxy
83,NA,NA,1.43,ASTM D792,NA,88,1.43,Polyphenylene EtherPPO
84,NA,NA,1.43,ASTM D792,NA,88,1.43,Polystyrene
85,NA,NA,1.43,ISO 1183,NA,88,1.43,Polyphenylene EtherPPO
86,NA,NA,1.43,ISO 1183,NA,88,1.43,Polystyrene
87,NA,NA,1.13,ISO 1183,NA,89,1.13,Nylon 6
88,NA,NA,0.98,NA,NA,90,0.98,PP
89,NA,NA,1.14,ASTM D792,NA,91,1.14,Nylon 66
90,NA,NA,2.16,ASTM D4894,NA,92,2.16,PTFE
91,NA,NA,0.947,ASTM D4883,NA,93,0.947,LDPE
92,NA,NA,1.57,ASTM D 792,NA,94,1.57,Polyphthalamide (PPA)
93,NA,NA,1.16,ISO 1183,NA,95,1.16,PMMA
94,NA,NA,1.13,ASTM D792,NA,96,1.13,PP
95,NA,NA,1.2,NA,NA,98,1.2,Epoxy
96,NA,NA,1.25,ASTM D792,NA,99,1.25,ABS
97,NA,NA,1.25,ASTM D792,NA,99,1.25,PC
98,NA,NA,1.25,ASTM D792,NA,100,1.25,PP
99,NA,NA,1.21,ASTM D792,NA,101,1.21,Vinyl (PVC)
100,NA,NA,1.07,ISO 1183,NA,102,1.07,Nylon 66
101,NA,NA,1.09,ISO 1183,NA,104,1.09,Thermoplastic Elastomers
102,0.29,0.45,NA,ASTM D 1056,NA,105,0.37,Rubber or Thermoset Elastomer
103,NA,NA,1.25,ASTM D792,NA,106,1.25,Vinyl (PVC)
104,1.51,1.55,NA,ISO R 1184,NA,109,1.53,Vinyl (PVC)
105,NA,NA,1.05,ASTM D792,NA,110,1.05,PP
106,NA,NA,1.09,ASTM D792,NA,111,1.09,ABS
107,NA,NA,1.41,ISO 1183,NA,112,1.41,Nylon 46
108,NA,NA,1.05,ASTM D792-91,NA,113,1.05,ABS
109,NA,NA,1.18,ISO 1183,Dry,114,1.18,Nylon 46
110,NA,NA,1.38,ASTM D792,NA,115,1.38,Nylon 6
111,NA,NA,1.5,ASTM D792,NA,117,1.5,Polyethylene Terephthalate
112,NA,NA,1.36,ASTM D792,NA,119,1.36,Polyphthalamide (PPA)
113,NA,NA,0.926,ASTM D792,NA,121,0.926,LLDPE
114,NA,NA,1.24,ASTM D792,NA,122,1.24,ABS
115,NA,NA,1.2,NA,NA,123,1.2,Vinyl (PVC)
116,NA,NA,1.14,ISO 1183,NA,124,1.14,Nylon 66
117,NA,NA,1.13,NA,NA,125,1.13,Nylon 6
118,NA,NA,1.2,ASTM D792,NA,126,1.2,Cellulosic
119,NA,NA,1.7,ISO 1183,NA,128,1.7,Nylon 66
120,NA,NA,1.3,ASTM D792,NA,129,1.3,Polybutylene Terephthalate
121,NA,NA,1.3,ASTM D792,NA,129,1.3,PC
122,NA,NA,1.14,ASTM D792,NA,130,1.14,Nylon 66
123,1.35,1.39,NA,ASTM D-792,NA,131,1.37,Vinyl (PVC)
124,NA,NA,1.58,ASTM D792,NA,132,1.58,Vinyl (PVC)
125,NA,NA,1.05,ASTM D792,NA,133,1.05,Polystyrene
126,NA,NA,0.953,ASTM D4883,NA,134,0.953,HDPE
127,NA,NA,1.2,NA,NA,135,1.2,Vinyl (PVC)
128,NA,NA,1.39,ASTM D792,NA,136,1.39,Phenolic
129,NA,NA,1.65,ASTM D792,NA,137,1.65,Vinyl (PVC)
130,NA,NA,1.86,ISO 1183,NA,138,1.86,Phenolic
131,NA,NA,1.03,NA,NA,139,1.03,Nylon 12
132,NA,NA,1.66,NA,NA,140,1.66,PP
133,NA,NA,1.16,ASTM D792,NA,142,1.16,Cellulosic
134,NA,NA,5,ASTM D 792,NA,143,5,Nylon 6
135,1.44,1.48,NA,ASTM D-792,NA,144,1.46,Vinyl (PVC)
136,NA,NA,1.55,ISO 1183-87,NA,145,1.55,Polyethylene Terephthalate
137,NA,NA,0.918,NA,NA,146,0.918,LLDPE
138,1.31,1.35,NA,ASTM D-792,NA,147,1.33,Vinyl (PVC)
139,NA,NA,1.18,ASTM D792,NA,148,1.18,Thermoplastic Polyurethane
140,NA,NA,1.33,ASTM D792,NA,149,1.33,Nylon 66
141,NA,NA,1.2,ASTM D792,NA,150,1.2,Cellulosic
142,NA,NA,0.955,ISO 1183,NA,151,0.955,HDPE
143,1.37,1.41,NA,ISO R 1183,NA,154,1.39,Vinyl (PVC)
144,NA,NA,1.31,ASTM D792,NA,155,1.31,Polybutylene Terephthalate
145,NA,NA,1.67,ASTM D792,NA,156,1.67,Polyphenylene Sulfide (PPS)
146,NA,NA,0.882,ISO 1183,NA,157,0.882,Thermoplastic Elastomers
147,1.51,1.55,NA,ISO R 1184,NA,159,1.53,Vinyl (PVC)
148,NA,NA,0.92,ISO 1183,NA,161,0.92,Thermoplastic Elastomers
149,NA,NA,0.95,ASTM D792,NA,164,0.95,Thermoplastic Elastomers
150,NA,NA,0.91,ISO 1183,NA,165,0.91,PP
151,NA,NA,1.38,ISO 1183/A,NA,166,1.38,Nylon 66
152,NA,NA,1.001,NA,NA,167,1.001,PTFE
153,NA,NA,0.91,ASTM D792,NA,168,0.91,Thermoplastic Elastomers
154,NA,NA,1.15,NA,NA,169,1.15,Nylon 6
155,NA,NA,1.2,ASTM D792,NA,170,1.2,PC
156,NA,NA,1.41,ASTM D792,NA,171,1.41,Nylon 6
157,NA,NA,1.4,NA,Dry,172,1.4,Nylon 6
158,NA,NA,0.952,ASTM D1505; ASTM D1928 Proc A,NA,173,0.952,Ethylene Vinyl Acetate
159,NA,NA,1.25,ASTM D792,NA,174,1.25,PC
160,NA,NA,1.15,ASTM D792,NA,175,1.15,Vinyl (PVC)
161,NA,NA,1.2,ISO 1183,NA,176,1.2,Nylon 6
162,NA,NA,1.48,NA,NA,177,1.48,Rubber or Thermoset Elastomer
163,NA,NA,1.48,NA,NA,177,1.48,Silicone
164,NA,NA,0.91,NA,NA,179,0.91,PP
165,NA,NA,1.27,NA,NA,180,1.27,Vinyl (PVC)
166,NA,NA,0.94,ASTM-D1505,NA,181,0.94,Ethylene Vinyl Acetate
167,NA,NA,1.04,NA,NA,182,1.04,Silicone
168,NA,NA,1.29,ASTM D792,NA,183,1.29,Nylon 66
169,NA,NA,1.2,ASTM D 792,NA,184,1.2,PC
170,NA,NA,0.9,ISO 1183,NA,185,0.9,PP
171,NA,NA,1.24,ASTM D792,NA,189,1.24,Nylon 66
172,NA,NA,1.23,ISO 1183,NA,189,1.23,Nylon 66
173,1.17,1.21,NA,ISO R 1184,NA,191,1.19,Vinyl (PVC)
174,NA,NA,0.952,ASTM D1505,NA,192,0.952,HDPE
175,NA,NA,1.22,ASTM D792,NA,193,1.22,Vinyl (PVC)
176,NA,NA,1.08,ASTM D792,NA,194,1.08,Polyphenylene EtherPPO
177,NA,NA,1.16,ASTM D792,NA,195,1.16,Thermoplastic Elastomers
178,NA,NA,1.16,ASTM D792,Molded plaque,197,1.16,Thermoplastic Polyurethane
179,NA,NA,1.16,ASTM D792,Molded plaque,197,1.16,Thermoplastic Elastomers
180,NA,NA,3,NA,NA,198,3,Epoxy
181,NA,NA,1.2,ASTM D792,NA,199,1.2,PC
182,NA,NA,0.9,ASTM D792,NA,201,0.9,Thermoplastic Elastomers
183,NA,NA,2.15,ASTM D-792,NA,203,2.15,PTFE
184,3.8,4,NA,ASTM D1457-18,NA,204,3.9,PTFE
185,0.02,NA,NA,NA,After expansion,207,NA,Polystyrene
186,NA,NA,1.43,ISO 1183,NA,208,1.43,Polybutylene Terephthalate
187,NA,NA,1.24,ASTM D792,NA,209,1.24,Vinyl (PVC)
188,NA,NA,1.41,ASTM D792,NA,210,1.41,Polybutylene Terephthalate
189,NA,NA,0.925,NA,NA,211,0.925,LLDPE
190,NA,NA,1.13,ASTM D792,NA,212,1.13,ABS
191,NA,NA,1.13,ASTM D792,NA,212,1.13,PC
192,NA,NA,1.22,ASTM D792,NA,213,1.22,Nylon 66
193,NA,NA,0.97,ASTM D792,NA,215,0.97,Thermoplastic Elastomers
194,NA,NA,1.04,ISO 1183,NA,217,1.04,ABS
195,NA,NA,1.16,ASTM D792,NA,220,1.16,ABS
196,NA,NA,1.57,ASTM A792,NA,221,1.57,Nylon 66
197,NA,NA,1.24,NA,NA,222,1.24,Thermoplastic Polyurethane
198,NA,NA,0.96,NA,NA,223,0.96,Silicone
199,NA,NA,1.41,ISO 1183,NA,225,1.41,Nylon 6
200,NA,NA,1.33,ISO 1183,NA,226,1.33,Nylon 6
201,NA,NA,1.04,ASTM D792,NA,227,1.04,Nylon 11
202,NA,NA,1.03,NA,NA,228,1.03,Nylon 66
203,NA,NA,1.2,ASTM D792,NA,229,1.2,Cellulosic
204,NA,NA,1.06,ASTM D792,NA,230,1.06,Thermoplastic Polyurethane
205,NA,NA,1.3,ASTM D792,NA,231,1.3,Nylon 6
206,NA,NA,0.92,ASTM D792,NA,232,0.92,Thermoplastic Elastomers
207,NA,NA,0.91,ASTM D792,NA,233,0.91,Styrene-Butadiene Thermoplastics
208,NA,NA,0.91,ASTM D792,NA,233,0.91,Thermoplastic Elastomers
209,NA,NA,1.26,ASTM D792,NA,235,1.26,Vinyl (PVC)
210,1.81,1.85,NA,ISO R 1183,NA,236,1.83,Vinyl (PVC)
211,NA,NA,0.94,"ASTM D792, ISO 1183",NA,237,0.94,Ethylene Vinyl Acetate
212,NA,NA,1.44,ISO data,NA,238,1.44,Nylon 6
213,NA,NA,0.958,ASTM D792,NA,240,0.958,PP
214,NA,NA,0.96,ASTM D792,NA,241,0.96,HDPE
215,NA,NA,1.8,ASTM D792,NA,242,1.8,Polyphenylene Sulfide (PPS)
216,NA,NA,1.52,"ASTM D792, ISO 1183",NA,243,1.52,Polybutylene Terephthalate
217,NA,NA,1.21,ASTM D792,NA,244,1.21,Nylon 66
218,1.26,1.3,NA,ISO R 1183,NA,246,1.28,Vinyl (PVC)
219,NA,NA,1.2,ISO 1183,NA,248,1.2,PC
220,NA,NA,1.37,STN EN ISO 1183-1,NA,249,1.37,Nylon 6
221,NA,NA,1.06,ASTM D792,NA,250,1.06,Polyphenylene EtherPPO
222,NA,NA,0.946,ASTM D4883,NA,251,0.946,HDPE
223,NA,NA,1.54,NA,Laminate,252,1.54,Epoxy
224,NA,NA,1.28,NA,NA,252,1.28,Epoxy
225,NA,NA,0.964,ASTM D792,NA,253,0.964,HDPE
226,NA,NA,0.945,ASTM D1505,NA,254,0.945,HDPE
227,NA,NA,1.2,ASTM D792,NA,255,1.2,Thermoplastic Polyurethane
228,NA,NA,1.23,ISO 1183,NA,257,1.23,Nylon 6
229,NA,NA,1.44,ASTM D792,NA,258,1.44,PC
230,NA,NA,1.04,ISO 1183,NA,259,1.04,PP
231,NA,NA,1.58,ISO 1183,NA,260,1.58,Polybutylene Terephthalate
232,NA,NA,1.22,ASTM D792,NA,262,1.22,Polyphenylene EtherPPO
233,NA,NA,1.22,ASTM D792,NA,262,1.22,Polystyrene
234,NA,NA,1.82,ASTM D792,NA,263,1.82,Polyphenylene Sulfide (PPS)
235,NA,NA,1.06,NA,NA,264,1.06,ABS
236,NA,NA,1.31,STN EN ISO 1183-1,NA,265,1.31,Polybutylene Terephthalate
237,NA,NA,1.31,ASTM D792,NA,266,1.31,ABS
238,NA,NA,1.31,ASTM D792,NA,266,1.31,Polybutylene Terephthalate
239,NA,NA,1.03,ASTM D 792,NA,267,1.03,PP
240,NA,NA,1.46,ASTM D792,NA,269,1.46,PP
241,NA,NA,0.89,ASTM D 792,NA,270,0.89,Thermoplastic Elastomers
242,NA,NA,0.96,ISO 1183,NA,271,0.96,HDPE
243,NA,NA,1.47,ASTM D792,NA,272,1.47,Vinyl (PVC)
244,NA,NA,1.23,ASTM A792,NA,273,1.23,Nylon 66
245,NA,NA,1.14,NA,NA,274,1.14,Nylon 6
246,NA,NA,1.04,ISO 1183,NA,276,1.04,Nylon 6
247,NA,NA,1.46,ASTM D792,NA,277,1.46,Polybutylene Terephthalate
248,NA,NA,1.05,NA,NA,279,1.05,AcrylicCyanoacrylate Adhesive
249,NA,NA,1.16,ASTM D792,NA,280,1.16,ABS
250,NA,NA,1.16,ASTM D792,NA,280,1.16,PC
251,NA,NA,0.923,ASTM D1505,NA,281,0.923,LDPE
252,NA,NA,0.9,ASTM D792B,NA,282,0.9,Thermoplastic Elastomers
253,NA,NA,0.94,NA,NA,283,0.94,Rubber or Thermoset Elastomer
254,NA,NA,1.23,ASTM D792,NA,286,1.23,PC
255,NA,NA,1.1,NA,NA,288,1.1,PP
256,NA,NA,1.49,ISO 1183,NA,289,1.49,Liquid Crystal Polymer
257,NA,NA,1.23,NA,NA,291,1.23,Rubber or Thermoset Elastomer
258,NA,NA,0.91,NA,NA,294,0.91,PP
259,1.48,1.52,NA,ISO R 1183,NA,295,1.5,Vinyl (PVC)
260,NA,NA,1.21,ASTM D792,NA,297,1.21,PC
261,NA,NA,1.7,ASTM D792,NA,299,1.7,ETFE-ECTFE
262,NA,NA,1.18,ASTM D792,NA,301,1.18,Thermoplastic Elastomers
263,NA,NA,0.89,NA,NA,303,0.89,Thermoplastic Elastomers
264,NA,NA,0.96,ASTM D792,NA,304,0.96,Thermoplastic Elastomers
265,NA,NA,1.2,ISO 2782,NA,306,1.2,Thermoplastic Elastomers
266,NA,NA,0.955,ASTM D1505,NA,307,0.955,HDPE
267,NA,NA,1.21,ISO 2781,NA,308,1.21,Thermoplastic Polyurethane
268,NA,NA,1.21,ISO 2781,NA,308,1.21,Thermoplastic Elastomers
269,NA,NA,1.35,ISO 1183,NA,309,1.35,PC
270,NA,NA,0.924,ASTM D1505,NA,310,0.924,LLDPE
271,NA,NA,1.45,ASTM D792,NA,312,1.45,Vinyl (PVC)
272,NA,NA,0.938,ASTM D792,NA,315,0.938,Styrene-Butadiene Thermoplastics
273,NA,NA,1.42,ASTM D 792,NA,316,1.42,Nylon 612
274,0.016,0.03,NA,NA,NA,317,0.023,Polystyrene
275,0.02,NA,NA,NA,After expansion,318,NA,Polystyrene
276,NA,NA,1.24,ISO 1183-87,NA,320,1.24,Nylon 6
277,NA,NA,1.34,NA,NA,321,1.34,Epoxy
278,NA,NA,1.18,ASTM D792,NA,322,1.18,ABS
279,NA,NA,1.18,ASTM D792,NA,322,1.18,PC
280,NA,NA,0.878,ASTM D792,NA,325,0.878,Thermoplastic Elastomers
281,1.13,1.17,NA,ISO R 1183,NA,326,1.15,Vinyl (PVC)
282,NA,NA,0.918,ASTM D4883,NA,327,0.918,LDPE
283,NA,NA,1.14,ASTM D792,NA,329,1.14,ABS
284,NA,NA,1.05,ASTM D792,NA,330,1.05,ABS
285,NA,NA,1.25,ASTM D792,NA,331,1.25,Thermoplastic Elastomers
286,NA,NA,0.962,ASTM D792,NA,332,0.962,Thermoplastic Elastomers
287,NA,NA,1.32,ASTM D792,NA,333,1.32,Nylon 612
288,NA,NA,1.17,NA,NA,334,1.17,ABS
289,NA,NA,1.17,NA,NA,334,1.17,PC
290,NA,NA,1.37,ASTM D792,NA,337,1.37,Vinyl (PVC)
291,NA,NA,1.16,ASTM D792,NA,339,1.16,Rubber or Thermoset Elastomer
292,NA,NA,1.16,ASTM D792,NA,339,1.16,Silicone
293,NA,NA,1.16,ASTM D792,NA,341,1.16,Nylon 6
294,NA,NA,1.03,ASTM D792,NA,343,1.03,PP
295,1.37,1.41,NA,ASTM D-792,NA,344,1.39,Vinyl (PVC)
296,NA,NA,1.02,ASTM D792,NA,346,1.02,PP
297,NA,NA,1.4,ASTM D 792,NA,347,1.4,Polyphthalamide (PPA)
298,NA,NA,1.32,ASTM D792,NA,348,1.32,Vinyl (PVC)
299,NA,NA,1.15,ASTM D792-91,NA,349,1.15,PP
300,NA,NA,1.34,ASTM D792,NA,350,1.34,Polyetherimide 
301,NA,NA,0.95,ASTM D792,NA,352,0.95,Thermoplastic Elastomers
302,NA,NA,1.44,ASTM D792,NA,353,1.44,Vinyl (PVC)
303,NA,NA,1.24,ASTM D792,NA,354,1.24,Thermoplastic Polyurethane
304,NA,NA,1.24,ASTM D792,NA,354,1.24,Thermoplastic Elastomers
305,NA,NA,1.33,ASTM D792,NA,355,1.33,Nylon 66
306,NA,NA,1.43,ASTM D792,NA,357,1.43,Vinyl (PVC)
307,NA,NA,0.35,ASTM D3574,NA,359,0.35,PP
308,NA,NA,1.13,NA,NA,362,1.13,Silicone
309,NA,NA,1.04,ASTM D792,NA,363,1.04,Thermoplastic Elastomers
310,NA,NA,1.52,ASTM D792,NA,365,1.52,Polyphenylene Sulfide (PPS)
311,NA,NA,1.27,ASTM D792,NA,366,1.27,PC
312,NA,NA,1.15,ASTM D792,NA,367,1.15,Polystyrene
313,NA,NA,1.18,NA,NA,368,1.18,Polyethylene Terephthalate
314,NA,NA,1.18,NA,NA,368,1.18,PC
315,NA,NA,1.52,ASTM D792,NA,371,1.52,Acetal
316,NA,NA,1.02,ASTM D792,NA,372,1.02,Polystyrene
317,1.53,1.57,NA,ISO R 1183,NA,373,1.55,Vinyl (PVC)
318,NA,NA,0.87,ASTM D792,NA,374,0.87,Thermoplastic Elastomers
319,NA,NA,0.91,NA,NA,375,0.91,PP
320,NA,NA,0.99,ISO 1183,NA,376,0.99,PP
321,NA,NA,1.22,NA,NA,377,1.22,Rubber or Thermoset Elastomer
322,NA,NA,1.22,NA,NA,377,1.22,Silicone
323,0.02,NA,NA,NA,Batch Expansion,379,NA,Polystyrene
324,NA,NA,0.919,ASTM-D792,NA,380,0.919,LLDPE
325,NA,NA,1.04,ASTM D792,NA,382,1.04,ABS
326,NA,NA,1.2,NA,NA,383,1.2,Epoxy
327,NA,NA,1.52,ASTM D792,NA,385,1.52,PC
328,NA,NA,0.91,NA,NA,388,0.91,PP
329,NA,NA,1.4,ASTM D792,NA,389,1.4,Vinyl (PVC)
330,NA,NA,1.3,ASTM D792,NA,390,1.3,Vinyl (PVC)
331,NA,NA,1.2,ASTM D792,NA,391,1.2,Polyphthalamide (PPA)
332,NA,NA,1.048,ISO 1183,NA,392,1.048,Polystyrene
333,NA,NA,1.35,ASTM D792,NA,394,1.35,Vinyl (PVC)
334,1.47,1.51,NA,ISO R 1183,NA,396,1.49,Vinyl (PVC)
335,NA,NA,1.28,ASTM D792,NA,397,1.28,Vinyl (PVC)
336,NA,NA,1.2,ASTM D792,NA,398,1.2,PC
337,NA,NA,1.41,ISO 1183,NA,399,1.41,Nylon 6
338,1.4,1.44,NA,ISO R 1184,NA,400,1.42,Vinyl (PVC)
339,NA,NA,1.17,ASTM D792,NA,402,1.17,PC
340,NA,NA,1.17,ISO 1183,NA,402,1.17,PC
341,NA,NA,1.09,NA,NA,403,1.09,PP
342,NA,NA,1.04,NA,NA,405,1.04,Silicone
343,NA,NA,1.32,ASTM D792,NA,406,1.32,PP
344,NA,NA,1.41,ISO 1183,NA,407,1.41,Acetal
345,NA,NA,1.2,"ASTM D792, ISO 1183",NA,409,1.2,PC
346,NA,NA,1.24,DIN 53479,NA,410,1.24,Thermoplastic Elastomers
347,NA,NA,0.97,NA,NA,411,0.97,Silicone
348,NA,NA,1.35,ASTM D 792,NA,412,1.35,Nylon 66
349,NA,NA,0.931,NA,NA,414,0.931,Ethylene Vinyl Acetate
350,NA,NA,0.9,ASTM D 792,NA,417,0.9,PP
351,NA,NA,0.94,ASTM D792 and ISO 1183,NA,418,0.94,Thermoplastic Elastomers
352,NA,NA,0.905,ASTM D792,NA,420,0.905,PP
353,NA,NA,1.84,ISO 1183,NA,421,1.84,PP
354,NA,NA,1.41,ISO 1183,Dry,422,1.41,Nylon 66
355,NA,NA,1.5,ISO 1183,NA,424,1.5,Polyethersulfone
356,NA,NA,1.41,ASTM D792,NA,425,1.41,Nylon 6
357,NA,NA,0.9,ASTM D792,NA,426,0.9,PP
358,NA,NA,1.41,ASTM D792,NA,427,1.41,"Polyimide, Thermoplastic"
359,NA,NA,1.1,NA,NA,428,1.1,AcrylicCyanoacrylate Adhesive
360,NA,NA,1.63,ASTM D792,NA,430,1.63,Polybutylene Terephthalate
361,NA,NA,1.17,ASTM D792,NA,431,1.17,Nylon 66
362,NA,NA,1.15,ISO 1183,NA,432,1.15,Nylon 6
363,NA,NA,1.09,ASTM D792,NA,433,1.09,Polyphenylene EtherPPO
364,NA,NA,1.09,ASTM D792,NA,433,1.09,Nylon 66
365,NA,NA,1.61,ISO 1183,NA,434,1.61,Polybutylene Terephthalate
366,NA,NA,1.04,NA,NA,437,1.04,ABS
367,NA,NA,1.28,ASTM D792,NA,438,1.28,Nylon 6
368,1.34,1.38,NA,ISO R 1184,NA,440,1.36,Vinyl (PVC)
369,NA,NA,0.9,ASTM D792,NA,441,0.9,PP
370,NA,NA,1.39,ASTM D792,NA,442,1.39,Nylon 6
371,NA,NA,0.95,ASTM D1505,NA,443,0.95,HDPE
372,NA,NA,1.04,NA,NA,444,1.04,ABS
373,NA,NA,1.03,ASTM D792,NA,445,1.03,ABS
374,NA,NA,1.41,ISO 1183,NA,446,1.41,Nylon 66
375,NA,NA,1.12,ASTM D471; ISO 2781,NA,447,1.12,Thermoplastic Elastomers
376,NA,NA,1.22,ISO 1183,NA,448,1.22,PP
377,NA,NA,1.13,NA,NA,449,1.13,Rubber or Thermoset Elastomer
378,NA,NA,1.13,NA,NA,449,1.13,Silicone
379,NA,NA,1.14,ASTM D792,NA,450,1.14,LDPE
380,NA,NA,1.205,ISO 1183,NA,451,1.205,Thermoplastic Polyurethane
381,NA,NA,0.949,ASTM D792,NA,452,0.949,HDPE
382,NA,NA,0.9,ISO 1183,NA,453,0.9,PP
383,NA,NA,1.02,ASTM D792,NA,455,1.02,PP
384,NA,NA,1.07,ASTM D792B,NA,456,1.07,PP
385,NA,NA,1.06,ASTM D955,NA,458,1.06,Nylon 6
386,NA,NA,1.33,ASTM D1050,NA,459,1.33,Polyethylene Terephthalate
