DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,materialdirty,polymeric,PE,PP,PS,PET,nonpolymeric,polyester,acrylic,polypropylene,nylon,cellulose,PETE,semi-synthetic cellulose,PVA,polyamide,poly(vinylidene fluorine),poly(trimellitamideimide),neoprene,cotton,butadiene/butyl rubber,acylonitrile,acrylic,wool,urethane
doi.org/10.1016/j.jwpe.2020.101640,Average|doi.org/10.1016/j.jwpe.2020.101640,N/A,River bed sediment,63; 8,particles/kg; mm2/kg,,25% cellulose; 18% PP; 4% PETE; 17% PS; 2% PE,,0.02,0.18,0.17,,,,,,,0.25,0.04,,,,,,,,,,,,
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.4,particles/L,2.4,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.4,particles/L,2.4,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.3,particles/L,2.3,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,GR_Gallatin_Gateway_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.3,particles/L,2.3,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,Porcupine_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.3,particles/L,2.3,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,Porcupine_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,2.1,particles/L,2.1,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,1.8,particles/L,1.8,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,1.6,particles/L,1.6,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,1.6,particles/L,1.6,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,Surface water,1.6,particles/L,1.6,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,,,,,0.13,,0.2,,0.04,,,,0.3,0.02,0.04,0.02,0.02,0.02,0.05,0.04,0.02,0.04,0.02,0.04
