sample_ID,morphology,morphology_raw,morph_ratio
17|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,0.92
IB|101119.10.3389/fchem.2018.00407,Fiber,Fiber,0.13
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
Oct0719|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
BN7141A04117|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
Oct 0118NHBRB|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
P18NOV17CG3|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
17.11.18|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
14.10.18|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
09.08.18|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
07.142018 2|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
NV No. AC-51-07269|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
100517 278WF246|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
730805210A 23:28|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
BBE 11.2018 10|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
20171102 1214JN|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
20171021 3214GH|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
20171103 2106WF|10.3389/fchem.2018.00407,Fiber,Fiber,0.13
drinking_water|10.3390/w12113115,Fiber,Fiber,0.802
Finished|10.1016/j.scitotenv.2019.134520,Fiber,Fiber,0.666666667
TCQS|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
SHN|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
CHQ|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
CHH|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
ZHB|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
DAS|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
XHS|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
HNZ|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
TCH|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
WHH|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
Spr|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
Sum|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
Aut|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
Win|10.1016/j.scitotenv.2021.148001,Fiber,Fiber,0.9071
IB|101119.10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
Oct0719|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
BN7141A04117|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
Oct 0118NHBRB|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
P18NOV17CG3|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
17.11.18|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
14.10.18|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
09.08.18|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
07.142018 2|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
NV No. AC-51-07269|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
100517 278WF246|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
730805210A 23:28|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
BBE 11.2018 10|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
20171102 1214JN|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
20171021 3214GH|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
20171103 2106WF|10.3389/fchem.2018.00407,Nurdle,Nurdle,0.03
drinking_water|10.3390/w12113115,Nurdle,Nurdle,0.191
TCQS|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
SHN|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
CHQ|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
CHH|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
ZHB|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
DAS|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
XHS|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
HNZ|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
TCH|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
WHH|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
Spr|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
Sum|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
Aut|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
