Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns)
12.932,doi.org/10.5894/rgci194 | 3.1,freshwatersurface,1000,4750
0.337,doi.org/10.5894/rgci194 | 2.1,freshwatersurface,1000,4750
0.074,doi.org/10.5894/rgci194 | 1.1,freshwatersurface,1000,4750
0.036,doi.org/10.5894/rgci194 | 3.3,freshwatersurface,1000,4750
0.03,doi.org/10.5894/rgci194 | 2.3,freshwatersurface,1000,4750
0.022,doi.org/10.5894/rgci194 | 3.5,freshwatersurface,1000,4750
0.018,doi.org/10.5894/rgci194 | 1.3,freshwatersurface,1000,4750
0.007,doi.org/10.5894/rgci194 | 1.5,freshwatersurface,1000,4750
0,doi.org/10.5894/rgci194 | 2.5,freshwatersurface,1000,4750
8.00E-04,doi.org/10.1021/acs.est.9b03851 | 1.2 ,freshwatersurface,335,5000
8.00E-04,doi.org/10.1021/acs.est.9b03852 | 1.3 ,freshwatersurface,335,5000
8.00E-04,doi.org/10.1021/acs.est.9b03853 | 1.4,freshwatersurface,335,5000
0.0122,doi.org/10.1021/acs.est.9b03850 | 14.1,freshwatersurface,355,5000
0.0122,doi.org/10.1021/acs.est.9b03850 | 14.2,freshwatersurface,355,5000
0.0122,doi.org/10.1021/acs.est.9b03850 | 14.3,freshwatersurface,355,5000
0.0122,doi.org/10.1021/acs.est.9b03850 | 14.4,freshwatersurface,355,5000
0.0103,doi.org/10.1021/acs.est.9b03850 | 23.1.1,freshwatersurface,355,5000
0.0103,doi.org/10.1021/acs.est.9b03850 | 26.2,freshwatersurface,355,5000
0.0103,doi.org/10.1021/acs.est.9b03850 | 26.3,freshwatersurface,355,5000
0.0102,doi.org/10.1021/acs.est.9b03850 | 15.1,freshwatersurface,355,5000
0.0102,doi.org/10.1021/acs.est.9b03850 | 15.2,freshwatersurface,355,5000
0.0102,doi.org/10.1021/acs.est.9b03850 | 15.3,freshwatersurface,355,5000
0.0071,doi.org/10.1021/acs.est.9b03850 | 7.1,freshwatersurface,355,5000
0.0071,doi.org/10.1021/acs.est.9b03850 | 7.2,freshwatersurface,355,5000
0.0071,doi.org/10.1021/acs.est.9b03850 | 7.3,freshwatersurface,355,5000
0.0071,doi.org/10.1021/acs.est.9b03850 | 7.4,freshwatersurface,355,5000
0.007,doi.org/10.1021/acs.est.9b03850 | 10.1,freshwatersurface,355,5000
0.007,doi.org/10.1021/acs.est.9b03850 |10.2,freshwatersurface,355,5000
0.007,doi.org/10.1021/acs.est.9b03850 | 10.3,freshwatersurface,355,5000
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.1,freshwatersurface,355,5000
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.2,freshwatersurface,355,5000
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.3,freshwatersurface,355,5000
0.0055,doi.org/10.1021/acs.est.9b03850 | 6.4,freshwatersurface,355,5000
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.1,freshwatersurface,355,5000
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.2,freshwatersurface,355,5000
0.0041,doi.org/10.1021/acs.est.9b03850 | 27.3,freshwatersurface,355,5000
0.004,doi.org/10.1021/acs.est.9b03850 | 13.1,freshwatersurface,355,5000
0.004,doi.org/10.1021/acs.est.9b03850 | 13.2,freshwatersurface,355,5000
0.004,doi.org/10.1021/acs.est.9b03850 |13.3,freshwatersurface,355,5000
0.004,doi.org/10.1021/acs.est.9b03850 | 13.4,freshwatersurface,355,5000
0.0037,doi.org/10.1021/acs.est.9b03850 | 3.1,freshwatersurface,355,5000
0.0037,doi.org/10.1021/acs.est.9b03850 | 3.2,freshwatersurface,355,5000
0.0037,doi.org/10.1021/acs.est.9b03850 | 3.3,freshwatersurface,355,5000
0.0037,doi.org/10.1021/acs.est.9b03850 | 3.4,freshwatersurface,355,5000
0.0034,doi.org/10.1021/acs.est.9b03850 | 12.1,freshwatersurface,355,5000
0.0034,doi.org/10.1021/acs.est.9b03850 | 12.2,freshwatersurface,355,5000
0.0034,doi.org/10.1021/acs.est.9b03850 | 12.3,freshwatersurface,355,5000
0.0034,doi.org/10.1021/acs.est.9b03850 | 12.4,freshwatersurface,355,5000
0.0033,doi.org/10.1021/acs.est.9b03850 | 28.1,freshwatersurface,355,5000
0.0033,doi.org/10.1021/acs.est.9b03850 | 28.2,freshwatersurface,355,5000
0.0033,doi.org/10.1021/acs.est.9b03850 | 28.3,freshwatersurface,355,5000
0.0033,doi.org/10.1021/acs.est.9b03850 | 28.4,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 18.1,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 18.2,freshwatersurface,355,5000
