Material,Item
plastic,"straws, stirrers"
organic,street food bowl
plastic,street food bowl
cloth,string
plastic,string
metal,sunglasses
plastic,sunglasses
paper,sweet papers
sanitary waste,syringes
metal,tableware
plastic,tableware
wood,tableware
paper,take-out food bags
plastic,take-out food bags
paper,takeaway cup
plastic,takeaway cup
sanitarywaste,tampon applicators
sanitarywaste,tampons
sanitary waste,tampons OR tampon applicators
plastic,tangled nets OR cord OR rope and string
plastic,tape
plastic,telephone
plastic,thin film
plastic,threadlike user pellets
rubber,tires
plastic,tobacco packaging & wrappers
plastic,tobacco sachets
plastic,toilet fresheners
sanitarywaste,toilet paper
sanitary waste,toiletries
sanitarywaste,tooth pick
sanitarywaste,toothbrushes
cloth,towels
sanitary waste,towels OR panty liners OR backing strips
cloth,towels OR rags
other,toys
plastic,toys
plastic,toys & party poppers
other,toys OR party poppers OR fireworks OR dummies
plastic,"toys, balls"
plastic,"toys, balls, party poppers"
plastic,traffic cones
metal,trap
metal,trap OR pot pieces
paper OR cardboard,tubes for fireworks
rubber,tyres and belts
rubber,tyres with holes
rubber,tyres without holes OR wheels
sanitarywaste,unbaggeddogfaeces
metal,utensil
plastic,utensil
wood,utensil
metal,"vehicle debris, large"
plastic,"vehicle debris, large"
metal,"vehicle debris, small"
plastic,"vehicle debris, small"
hard plastics,water bottles
sanitarywaste,wet wipes
metal,wheels
glass,wine bottle
metal,wire
metal,"wire, wire mesh, barbed wire"
wood,wood boards
wood,wooden trap
paper,wrappers
plastic,wrappers
paper,label
plastic,label
cloth,hat
plastic,tube
metal,tube
plastic,container
metal,container
wood,container
metal,paperclip
wood,box
metal,box
plastic,box
plastic,packet
